project_code,identity_key,prediction_month,state,sector,ministry,agency,project_age_months,progress_current,expenditure_current,original_cost_current,revised_cost_current,effective_target_months_from_cutoff,progress_change_1m,progress_change_3m,progress_velocity_3m,progress_acceleration_3m,expenditure_change_1m,expenditure_change_3m,expenditure_velocity_3m,cost_revision_count_to_date,last_cost_revision_pct,months_since_cost_revision,schedule_revision_count_to_date,months_since_schedule_revision,months_since_material_progress_change,expenditure_to_original_cost,expenditure_to_revised_cost,cost_revision_pct_current,months_observed,months_since_first_observation,revised_cost_missing,progress_missing,future_cost_increase_5pct_6m
108000,P:108000,2025-09,Haveli and Daman,Railways,Ministry of Railways,705728,96.000000,54.000000,81242.890000,108000.000000,,51.000000,,,,,,,,0,,,0,,,0.752249,,0.000000,1,0,1,0,0
108000,P:108000,2025-10,Haveli and Daman,Railways,Ministry of Railways,705728,97.000000,55.000000,82967.890000,108000.000000,,50.000000,1.000000,,,,1725.000000,,,0,,,0,,0.000000,0.768221,,0.000000,2,1,1,0,0
108000,P:108000,2025-11,Haveli and Daman,Railways,Ministry of Railways,705728,98.000000,55.000000,84199.890000,108000.000000,,49.000000,0.000000,,,-1.000000,1232.000000,,,0,,,0,,1.000000,0.779629,,0.000000,3,2,1,0,0
108000,P:108000,2025-12,Haveli and Daman,Railways,Ministry of Railways,705728,99.000000,56.000000,85337.890000,108000.000000,,48.000000,1.000000,2.000000,0.666667,1.000000,1138.000000,4095.000000,1365.000000,0,,,0,,0.000000,0.790166,,0.000000,4,3,1,0,0
11783,P:11783,2025-09,Odisha,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,62.000000,91.000000,8373.410000,13805.000000,,11.000000,,,,,,,,0,,,0,,,0.606549,,0.000000,1,0,1,0,0
124005,P:124005,2025-09,"Maharashtra,",Railways,Ministry of Railways,705237,164.000000,96.000000,124623.000000,51101.000000,,3.000000,,,,,,,,0,,,0,,,2.438759,,0.000000,1,0,1,0,0
124005,P:124005,2025-10,"Maharashtra,",Railways,Ministry of Railways,705237,165.000000,96.000000,124623.000000,51101.000000,,2.000000,0.000000,,,,0.000000,,,0,,,0,,,2.438759,,0.000000,2,1,1,0,0
124005,P:124005,2025-11,"Maharashtra,",Railways,Ministry of Railways,705237,166.000000,96.000000,124623.000000,51101.000000,,1.000000,0.000000,,,0.000000,0.000000,,,0,,,0,,,2.438759,,0.000000,3,2,1,0,0
124005,P:124005,2025-12,"Maharashtra,",Railways,Ministry of Railways,705237,167.000000,96.000000,124623.000000,51101.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,,,0,,,2.438759,,0.000000,4,3,1,0,0
16654,P:16654,2025-09,Uttar Pradesh,Oil & Gas,Ministry of Petroleum & Natural Gas,Bharat Petroleum Corporation Limited [BPCL],33.000000,11.000000,590.670000,16654.000000,,57.000000,,,,,,,,0,,,0,,,0.035467,,0.000000,1,0,1,0,0
