project_code,identity_key,prediction_month,state,sector,ministry,agency,project_age_months,progress_current,expenditure_current,original_cost_current,revised_cost_current,effective_target_months_from_cutoff,progress_change_1m,progress_change_3m,progress_velocity_3m,progress_acceleration_3m,expenditure_change_1m,expenditure_change_3m,expenditure_velocity_3m,cost_revision_count_to_date,last_cost_revision_pct,months_since_cost_revision,schedule_revision_count_to_date,months_since_schedule_revision,months_since_material_progress_change,expenditure_to_original_cost,expenditure_to_revised_cost,cost_revision_pct_current,months_observed,months_since_first_observation,revised_cost_missing,progress_missing,future_schedule_later_3m
10362,P:10362,2025-09,West Bengal,Railways,Ministry of Railways,RVNL - II,185.000000,59.000000,4485.200000,4835.000000,,39.000000,,,,,,,,0,,,0,,,0.927653,,0.000000,1,0,1,0,1
10362,P:10362,2025-10,West Bengal,Railways,Ministry of Railways,RVNL - II,186.000000,59.000000,4634.680000,4835.000000,,50.000000,0.000000,,,,149.480000,,,0,,,1,0.000000,,0.958569,,0.000000,2,1,1,0,0
108000,P:108000,2025-09,Haveli and Daman,Railways,Ministry of Railways,705728,96.000000,54.000000,81242.890000,108000.000000,,51.000000,,,,,,,,0,,,0,,,0.752249,,0.000000,1,0,1,0,0
108000,P:108000,2025-10,Haveli and Daman,Railways,Ministry of Railways,705728,97.000000,55.000000,82967.890000,108000.000000,,50.000000,1.000000,,,,1725.000000,,,0,,,0,,0.000000,0.768221,,0.000000,2,1,1,0,0
108000,P:108000,2025-11,Haveli and Daman,Railways,Ministry of Railways,705728,98.000000,55.000000,84199.890000,108000.000000,,49.000000,0.000000,,,-1.000000,1232.000000,,,0,,,0,,1.000000,0.779629,,0.000000,3,2,1,0,0
108000,P:108000,2025-12,Haveli and Daman,Railways,Ministry of Railways,705728,99.000000,56.000000,85337.890000,108000.000000,,48.000000,1.000000,2.000000,0.666667,1.000000,1138.000000,4095.000000,1365.000000,0,,,0,,0.000000,0.790166,,0.000000,4,3,1,0,0
108000,P:108000,2026-01,Haveli and Daman,Railways,Ministry of Railways,705728,100.000000,57.000000,86792.890000,108000.000000,,47.000000,1.000000,2.000000,0.666667,0.000000,1455.000000,3825.000000,1275.000000,0,,,0,,0.000000,0.803638,,0.000000,5,4,1,0,0
108000,P:108000,2026-02,Haveli and Daman,Railways,Ministry of Railways,705728,101.000000,58.000000,87754.890000,108000.000000,,46.000000,1.000000,3.000000,1.000000,0.000000,962.000000,3555.000000,1185.000000,0,,,0,,0.000000,0.812545,,0.000000,6,5,1,0,0
108000,P:108000,2026-03,Haveli and Daman,Railways,Ministry of Railways,705728,102.000000,59.100000,90395.890000,108000.000000,,45.000000,1.100000,3.100000,1.033333,0.100000,2641.000000,5058.000000,1686.000000,0,,,0,,0.000000,0.836999,,0.000000,7,6,1,0,0
10947,P:10947,2025-09,Maharashtra,Railways,Ministry of Railways,Mumbai Rail Vikas Corporation Ltd.[MRVC],105.000000,65.000000,5303.760000,10947.000000,,15.000000,,,,,,,,0,,,0,,,0.484494,,0.000000,1,0,1,0,0
10947,P:10947,2025-10,Maharashtra,Railways,Ministry of Railways,Mumbai Rail Vikas Corporation Ltd.[MRVC],106.000000,65.000000,5460.490000,10947.000000,,14.000000,0.000000,,,,156.730000,,,0,,,0,,,0.498812,,0.000000,2,1,1,0,0
