report_month,sl_no,project_code,legacy_ocms_code,identifier_status,project_name,agency,ministry,sector,state,date_of_approval,start_date,original_doc,revised_doc,original_cost,revised_cost,expenditure,physical_progress,source_file,source_page,source_section,extraction_status
2025-07,1,612786,,PRIMARY_IDENTIFIER,"Construction of New Domestic Terminal Building Building and miscellaneous works including maintenance, operations and AICMC at Kadapa Airport",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Andhra Pradesh,01/2026,01/2024,,03/2026,265.91,265.91,45.54,31.0,FlashReport_July_2025.pdf,37,Table 6: All Ongoing Projects,SUCCESS
2025-07,2,701107,,PRIMARY_IDENTIFIER,Construction of New Integrated Terminal Building and associated works including apron to park 3 code E type of aircraft or 6 code C type of aircraft at Vijayawada,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Andhra Pradesh,09/2022,09/2020,,12/2025,611.8,611.8,464.55,77.0,FlashReport_July_2025.pdf,37,Table 6: All Ongoing Projects,SUCCESS
2025-07,3,701121,,PRIMARY_IDENTIFIER,Construction of New Domestic Terminal Building at Rajahmundry Airport.,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Andhra Pradesh,08/2025,08/2023,,12/2025,347.15,347.15,81.23,49.0,FlashReport_July_2025.pdf,37,Table 6: All Ongoing Projects,SUCCESS
2025-07,4,706724,,PRIMARY_IDENTIFIER,Guwahati Airport New Integrated Terminal Building Construction Project,Adani Airport Holdings Limited,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Assam,03/2025,03/2018,,,1712.0,1712.0,0.0,94.1,FlashReport_July_2025.pdf,37,Table 6: All Ongoing Projects,SUCCESS
2025-07,5,612183,,PRIMARY_IDENTIFIER,Development of New Civil Enclave at Bihta,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Bihar,09/2027,03/2025,,,1413.0,1413.0,0.0,1.0,FlashReport_July_2025.pdf,37,Table 6: All Ongoing Projects,SUCCESS
2025-07,6,612194,,PRIMARY_IDENTIFIER,Development of New Civil Enclave and associated works at Darbhanga Airport,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Bihar,01/2026,07/2024,,,911.66,911.66,133.01,23.0,FlashReport_July_2025.pdf,37,Table 6: All Ongoing Projects,SUCCESS
2025-07,7,701101,,PRIMARY_IDENTIFIER,"Construction of New Domestic Terminal Building [Phase-I and II] and other allied structures at JPNI Airport, Patna",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Bihar,07/2023,10/2018,,11/2025,1216.9,1216.9,1046.48,94.0,FlashReport_July_2025.pdf,37,Table 6: All Ongoing Projects,SUCCESS
2025-07,8,701105,,PRIMARY_IDENTIFIER,Goa Airport Terminal Building Extension Project,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Goa,12/2021,12/2019,,09/2025,255.69,255.69,130.0,88.0,FlashReport_July_2025.pdf,37,Table 6: All Ongoing Projects,SUCCESS
2025-07,9,701126,,PRIMARY_IDENTIFIER,"Development of Dholera International Greenfield Airport , Gujarat",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Gujarat,06/2026,07/2022,,06/2026,1305.0,1551.0,666.42,63.0,FlashReport_July_2025.pdf,37,Table 6: All Ongoing Projects,SUCCESS
2025-07,10,611047,,PRIMARY_IDENTIFIER,"Construction of NTB complex including apron, taxi track and other associated civil works and electrical & mechanical installations towards Tawi River side at CA Jammu. Jammu and",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Kashmir,06/2026,07/2023,,06/2026,861.37,861.37,154.3,30.0,FlashReport_July_2025.pdf,37,Table 6: All Ongoing Projects,SUCCESS
