report_month,progress_range,project_count,original_cost_crores,revised_cost_crores,expenditure_crores,source_file,source_type
2025-07,0-10,175.0,381959.22,382705.77,24924.01,Physical-Progress-Report.csv,aggregate_csv
2025-07,10-20,70.0,282289.67,289794.82,30664.03,Physical-Progress-Report.csv,aggregate_csv
2025-07,20-30,53.0,87019.51,88945.7,17321.93,Physical-Progress-Report.csv,aggregate_csv
2025-07,30-40,30.0,52434.72,58762.54,20102.86,Physical-Progress-Report.csv,aggregate_csv
2025-07,40-50,49.0,138759.24,142691.53,65920.93,Physical-Progress-Report.csv,aggregate_csv
2025-07,50-60,55.0,183092.64,194433.24,123383.24,Physical-Progress-Report.csv,aggregate_csv
2025-07,60-70,57.0,184615.61,213927.08,132813.06,Physical-Progress-Report.csv,aggregate_csv
2025-07,70-80,69.0,167294.54,213364.32,139844.51,Physical-Progress-Report.csv,aggregate_csv
2025-07,80-90,103.0,406766.54,664991.64,383548.92,Physical-Progress-Report.csv,aggregate_csv
2025-07,90-100,131.0,481632.67,643643.88,573179.62,Physical-Progress-Report.csv,aggregate_csv
2025-07,100,8.0,9468.01,14287.17,25906.3,Physical-Progress-Report.csv,aggregate_csv
2025-08,100,8.0,9468.01,14287.17,25906.3,Physical-Progress-Report.csv,aggregate_csv
2025-08,90-100,131.0,481632.67,643643.88,573179.62,Physical-Progress-Report.csv,aggregate_csv
2025-08,80-90,103.0,406766.54,664991.64,383548.92,Physical-Progress-Report.csv,aggregate_csv
2025-08,70-80,69.0,167294.54,213364.32,139844.51,Physical-Progress-Report.csv,aggregate_csv
2025-08,60-70,57.0,184615.61,213927.08,132813.06,Physical-Progress-Report.csv,aggregate_csv
2025-08,20-30,53.0,87019.51,88945.7,17321.93,Physical-Progress-Report.csv,aggregate_csv
2025-08,40-50,49.0,138759.24,142691.53,65920.93,Physical-Progress-Report.csv,aggregate_csv
2025-08,30-40,30.0,52434.72,58762.54,20102.86,Physical-Progress-Report.csv,aggregate_csv
2025-08,10-20,70.0,282289.67,289794.82,30664.03,Physical-Progress-Report.csv,aggregate_csv
2025-08,0-10,175.0,381959.22,382705.77,24924.01,Physical-Progress-Report.csv,aggregate_csv
2025-08,50-60,55.0,183092.64,194433.24,123383.24,Physical-Progress-Report.csv,aggregate_csv
2025-09,70-80,69.0,190427.08,238373.32,160772.73,Physical-Progress-Report.csv,aggregate_csv
2025-09,100,10.0,21027.84,25929.43,36345.07,Physical-Progress-Report.csv,aggregate_csv
2025-09,90-100,136.0,479372.1,637384.36,580459.42,Physical-Progress-Report.csv,aggregate_csv
2025-09,80-90,106.0,407650.15,666207.98,390512.51,Physical-Progress-Report.csv,aggregate_csv
