identity_key,project_code,legacy_ocms_code,project_name,agency,state,ministry,sector,first_month,last_month,months_observed,master_resolution_rule,field_conflicts
L:N04000073,,N04000073,"CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING AT VSI AIRPORT, PORTBLAIR",AAI,Andaman and Nicobar Islands,,CIVIL AVIATION,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,state:2
L:N04000074,,N04000074,"MODERNIZATION OF CHENNAI AIRPORT PHASE II, CHENNAI",AAI,Tamil Nadu,,CIVIL AVIATION,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,NONE
L:N04000076,,N04000076,"CONSTRUCTION OF COMBINED OPERATIONAL OFFICES FOR DGCA, BCAS, AAIB, AERA AND AAI AT SAFDARJUNG AIRPOR",AAI,Delhi,,CIVIL AVIATION,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,NONE
L:N04000077,,N04000077,"CCS INTERNATIONAL AIRPORT , LUCKNOW",AAI,Uttar Pradesh,,CIVIL AVIATION,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,sector:2
L:N04000078,,N04000078,CONSTRUCTION OF TERMINAL BUILDING AND ASSOCIATED WORKS AT LEH AIRPORT,AAI,Ladakh,,CIVIL AVIATION,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,NONE
L:N04000079,,N04000079,"CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING, RECONSTRUCTION OF OLD TERMINAL BUILDING, MODIFICAT",AAI,Maharashtra,,CIVIL AVIATION,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,state:2;sector:2
L:N04000080,,N04000080,CONSTRUCTION OF ATC TOWER AND TECHNICAL BLOCK AT NSCBI AIRPORT KOLKATA,AAI,West Bengal,,CIVIL AVIATION,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,NONE
L:N04000081,,N04000081,"AIRSIDE CAPACITY ENHANCEMENT OF NSBI AIRPORT, KOLKATA",AAI,West Bengal,,CIVIL AVIATION,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,NONE
L:N04000082,,N04000082,"CONSTRUCTION OF NEW DORNESTIC TERMINAL BUILDING AND OTHER STRUCTURES, PHASE I AND II",AAI,Bihar,,CIVIL AVIATION,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,NONE
L:N04000083,,N04000083,CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING AT LGBI AIRPORT GUWAHATI,AAI,Assam,,CIVIL AVIATION,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,NONE
L:N04000085,,N04000085,"CONSTRUCTION OF DOMESTIC PASSENGER TERMINAL BUILDING AT DEHRADUN AIRPORT, DEHRADUN",AAI,Uttarakhand,,CIVIL AVIATION,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,state:2
L:N04000087,,N04000087,UPGRADATION OF JABALPUR AIRPORT,AAI,Madhya Pradesh,,CIVIL AVIATION,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,state:2
L:N04000088,,N04000088,"C/O NEW GREENFIELD AIRPORT AT HISSAR, RAJKOT, GUJARAT",AAI,Gujarat,,CIVIL AVIATION,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,sector:2
L:N04000090,,N04000090,DEVELOPMENT OF TUTICORIN AIRPORT,AAI,Tamil Nadu,,CIVIL AVIATION,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,NONE
L:N04000091,,N04000091,C/O OF NITB AND ASSOCIATED WORK AT VIJAYAWADA AIRPORT,AAI,Andhra Pradesh,,CIVIL AVIATION,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,state:2;sector:2
L:N04000092,,N04000092,CONSTRUCTION OF NEW GREEN FIELD AIRPORT AT HOLLONGI ITANAGAR ARUNACHAL PRADESH,AAI,Arunachal Pradesh,,CIVIL AVIATION,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,state:2
L:N04000093,,N04000093,"EXTENSION OF TERMINAL BUILDING, PTT, APRON AND CAR PARK AT SURAT AIRPORT.",AAI,Gujarat,,CIVIL AVIATION,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,sector:2
L:N04000094,,N04000094,DEVELOPMENT OF AYODHYA AIRPORT PHASE-01,AAI,Uttar Pradesh,,CIVIL AVIATION,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,sector:2
L:N04000095,,N04000095,EXTENSION OF EXISTING INTEGRATED TERMINAL BUILDING AND ALLIED WORKS AT GOA AIRPORT.,AAI,Goa,,CIVIL AVIATION,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,NONE
L:N04000096,,N04000096,"EXTENSION OF RUNWAY WITH BLAST PAD, RESA, TAXIWAY, APRON, GSE AREA, ISOLATION BAY, NEW DOMESTIC TERM",AAI,Maharashtra,,CIVIL AVIATION,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,state:2;sector:2
L:N04000098,,N04000098,DEVELOPMENT OF GWALIOR AIRPORT PHASE 01,AAI,Madhya Pradesh,,CIVIL AVIATION,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,state:2
L:N04000099,,N04000099,"DEVELOPMENT OF NEW GREENFIELD AIRPORT AT DHOLERA, AHMEDABAD (GUJARAT). PHASE-1.",AAI,Gujarat,,CIVIL AVIATION,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,sector:2
L:N04000100,,N04000100,"CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING, CONTROL TOWER CUM TECHNICAL BLOCK, APRON, LINK TAX",AAI,Manipur,,CIVIL AVIATION,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,NONE
L:N04000101,,N04000101,CONSTRUCTION OF NEW TERMINAL BUILDING AT JODHPUR AIRPORT,AAI,Rajasthan,,CIVIL AVIATION,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,NONE
L:N04000102,,N04000102,"PRAYAGRAJ AIRPORT - CONSTRUCTION OF NEW TERMINAL BUILDING, SECOND LINK TAXI TRACK, APRON EXPANSION,",AAI,Uttar Pradesh,,CIVIL AVIATION,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,sector:2
L:N04000103,,N04000103,RAJAHMUNDRY AIRPORT: CONSTRUCTION OF NEW DOMESTIC TERMINAL BUILDING AND MISCELLANEOUS WORKS INCLUD,AAI,Andhra Pradesh,,CIVIL AVIATION,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,state:2;sector:2
L:N04000104,,N04000104,UDAIPUR AIRPORT- CONSTRUCTION OF NEW INTEGRATED PASSENGER TERMINAL BUILDING,AAI,Rajasthan,,CIVIL AVIATION,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,NONE
L:N04000105,,N04000105,BELAGAVI AIRPORT- EXPANSION OF TERMINAL BUILDING AND ASSOCIATED WORKS,AAI,Karnataka,,CIVIL AVIATION,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,NONE
L:N04000106,,N04000106,KADAPPA AIRPORT- CONSTRUCTION OF NEW DOMESTIC TERMINAL BUILDING AND MISCELLANEOUS WORKS INCLUDING MA,AAI,Andhra Pradesh,,CIVIL AVIATION,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,state:2;sector:2
L:N04000107,,N04000107,JAMMU - CONSTRUCTION OF NEW CIVIL ENCLAVE,AAI,Jammu and Kashmir,,CIVIL AVIATION,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,state:2
L:N04000108,,N04000108,HUBBALI AIRPORT - CONSTRUCTION OF NEW DOMESTIC TERMINAL BUILDING AND MISCELLANEOUS WORKS,AAI,Karnataka,,CIVIL AVIATION,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,NONE
L:N04000109,,N04000109,"NSCBI AIRPORT KOLKATA: RE- CONSTRUCTION OF RIGID POSITIONS OF SECONDARY RUNWAY, 'K' AND 'A' TAXIWAY",AAI,West Bengal,,CIVIL AVIATION,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,NONE
L:N04000110,,N04000110,PAKYONG AIRPORT- WIDENING OF BASIC STRIP AT WESTERN SIDE OF RUNWAY CHAINAGE 80M TO 920M I/C SLOPE ST,AAI,Sikkim,,CIVIL AVIATION,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,NONE
L:N04000111,,N04000111,CALICUT AIRPORT - DEVELOPMENT OF ADDITIONAL RESA ON EITHER END ON RUNWAY 10-28 AT CALICUT AIRPORT,AAI,Kerala,,CIVIL AVIATION,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,NONE
L:N04000112,,N04000112,"DARBHANGA:DEVELOPMENT OF NEW CIVIL ENCLAVE AT DARBHANGA, BIHAR. SH- CONSTRUCTION OF NEW TERMINAL BUI",AAI,Bihar,,CIVIL AVIATION,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,NONE
L:N04000113,,N04000113,AGRA: DEVELOPMENT OF NEW CIVIL ENCLAVE AT AGRA AIRPORT.,AAI,Uttar Pradesh,,CIVIL AVIATION,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,sector:2
L:N04000114,,N04000114,"VARANASI: DEVELOPMENT OF LAL BAHADUR SHASTRI INTERNATIONAL AIRPORT, VARANASI.",AAI,Uttar Pradesh,,CIVIL AVIATION,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,sector:2
L:N04000115,,N04000115,BAGDOGRA AIRPORT: DEVELOPMENT OF NEW CIVIL ENCLAVE AT BAGDOGRA AIRPORT. SUB-HEAD : CONSTRUCTION OF N,AAI,West Bengal,,CIVIL AVIATION,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,NONE
L:N06000045,,N06000045,PELMA OCP(15.00MTY),SECL,Chhattisgarh,,URBAN DEVELOPMENT,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,state:2;sector:2
L:N06000087,,N06000087,RAJRAPPA RCE OCP ( 3.0 MTY),CCL,Jharkhand,,POWER,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,sector:2
L:N06000096,,N06000096,MURAIDIH UG TURN-KEY PROJECT,BCCL,Jharkhand,,POWER,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,sector:2
L:N06000098,,N06000098,MOONIDIH XV SEAM UG,BCCL,Jharkhand,,POWER,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,sector:2
L:N06000104,,N06000104,CHHAL OC SEAM -III (6.00 MTY),SECL,Chhattisgarh,,URBAN DEVELOPMENT,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,state:2;sector:2
L:N06000112,,N06000112,BASUNDHARA (WEST) OC EXTN(7.00 MTY),MCL,Odisha,,RAILWAYS,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,NONE
L:N06000113,,N06000113,SIARMAL OCP (40.00MTY),MCL,Odisha,,RAILWAYS,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,NONE
L:N06000123,,N06000123,AMERA OC RCE,SECL,Chhattisgarh,,URBAN DEVELOPMENT,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,state:2;sector:2
L:N06000125,,N06000125,KANCHAN OC EXPANSION,SECL,Madhya Pradesh,,CIVIL AVIATION,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,state:2
L:N06000132,,N06000132,AMALGAMATED YEKONA-I YEKONA-II,WCL,Maharashtra,,CIVIL AVIATION,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,state:2;sector:2
L:N06000135,,N06000135,AMGAON OPENCAST PROJECT RCE,SECL,Chhattisgarh,,URBAN DEVELOPMENT,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,state:2;sector:2
L:N06000148,,N06000148,AMADAND OPENCAST EXPANSION PROJECT,SECL,Madhya Pradesh,,CIVIL AVIATION,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,state:2
L:N06000152,,N06000152,NEYVELI UTTAR PRADESH POWER PROJECT LIMITED 1980 MW,NLC,Uttar Pradesh,,COAL,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,NONE
L:N06000154,,N06000154,NILJAI EXPANSION (DEEP) OC (3.5 MTY),WCL,Mizoram,,COAL,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,NONE
L:N06000161,,N06000161,KAKATIYAKHANI OPENCAST III PROJECT PHASE-1,SCCL,Telangana,,COAL,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,sector:2
L:N06000163,,N06000163,RANIGANJ MASTER PLAN,ECL,West Bengal,,CIVIL AVIATION,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,NONE
L:N06000164,,N06000164,MAHAMAYA OPENCAST PROJECT,SECL,Chhattisgarh,,URBAN DEVELOPMENT,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,state:2;sector:2
L:N06000165,,N06000165,SIDULI MINE (OC AND UG),ECL,West Bengal,,CIVIL AVIATION,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,NONE
L:N06000166,,N06000166,JHIRIA WEST OPENCAST PROJECT,SECL,Chhattisgarh,,URBAN DEVELOPMENT,2025-04,2025-06,3,most_frequent_nonblank; most_recent_when_tied,state:2;sector:2
