"Physical Progress"

"1","0-10","154","347612.72 (347775.59)","31666.72"
"2","10-20","71","452825.8 (460240.14)","34247.64"
"3","20-30","53","93571.95 (93571.94)","18794.03"
"4","30-40","32","56064.67 (64346.69)","21634.93"
"5","40-50","49","137595.4 (143338.39)","66860.49"
"6","50-60","56","189135.19 (205229.44)","129954.69"
"7","60-70","58","157839.08 (180926.55)","114463.61"
"8","70-80","69","190427.08 (238373.32)","160772.73"
"9","80-90","106","407650.15 (666207.98)","390512.51"
"10","90-100","136","479372.1 (637384.36)","580459.42"
"11","100","10","21027.84 (25929.43)","36345.07"
