"State Wise Details"

"1","Maharashtra","109","425549.94 (545048.73)","377423.41"
"2","Gujarat","74","401353.25 (531213.33)","397370.99"
"3","Jharkhand","66","165923.86 (178488.46)","74395.55"
"4","Uttar Pradesh","62","249968.17 (334587.94)","269509.89"
"5","Odisha","57","174651.84 (183248.03)","95635.51"
"6","Madhya Pradesh","56","170397.27 (184925.26)","87668.83"
"7","Rajasthan","56","214933.5 (327156.91)","240321.52"
"8","West Bengal","56","127647.51 (139948.96)","67550.35"
"9","Chhattisgarh","52","120189.19 (125088.44)","56122.12"
"10","Bihar","50","127584.25 (138306.01)","70965.93"
"11","Andhra Pradesh","47","124362.24 (178166.9)","103275.67"
"12","Karnataka","38","95655.64 (111285.73)","72873.2"
"13","Assam","31","67041.17 (101668.87)","81258"
"14","Telangana","31","44009.03 (60570.46)","30983.06"
"15","Delhi","28","137284.31 (137839.23)","55072.28"
"16","Tamil Nadu","19","114474.73 (126476.44)","41548.38"
"17","Haryana","18","129800.26 (206927.45)","173408.71"
"18","Punjab","16","39563.9 (41045.05)","25051.76"
"19","Jammu & Kashmir","14","28221.18 (34037.69)","16446.59"
"20","Himachal Pradesh","11","25881.08 (30480.26)","14495.05"
"21","Arunachal Pradesh","11","101491.54 (162801.65)","104808.59"
"22","Kerala","10","16089.94 (21632.08)","10386.58"
"23","Sikkim","8","29905.83 (39351.55)","29561.28"
"24","Uttarakhand","7","54002.87 (68408.94)","46396.68"
"25","Nagaland","6","23666.28 (25254.95)","17524.86"
"26","Manipur","5","30647.77 (40172.12)","29312.67"
"27","Meghalaya","4","15842.81 (17431.48)","12344.04"
"28","Tripura","4","15241.66 (16752.51)","12275.02"
"29","Mizoram","3","14850.56 (16439.23)","11889.77"
"30","Ladakh","3","1105.6 (1229.84)","926.56"
"31","Goa","3","6060.18 (6438.31)","6131.17"
"32","Dadra & Nagar Haveli and Daman & Diu","3","112756.26 (112756.26)","85453.18"
"33","Puducherry","2","1331.34 (1525.34)","1107.93"
"34","Andaman & Nicobar","1","209.88 (209.88)","0"
