"Sector Wise Details"

"1","Railways","260","696643.16 (850436.57)","544630.05"
"2","Coal","117","159359.32 (157097.31)","48896.62"
"3","Oil & Gas","95","355051.01 (384189.78)","188847.4"
"4","Transmission & Distribution","64","153554.68 (159517.97)","57184.49"
"5","Water Resources","39","93740.23 (193594.13)","139573.2"
"6","Electricity Generation","36","275175.55 (336178.78)","165130.23"
"7","Waste & Water","32","9937.92 (9962.25)","5975.01"
"8","Education","31","16021.65 (15534.29)","8505.19"
"9","Aviation & Aviation Infrastructure","25","19949.84 (20411.04)","9093.09"
"10","Urban Public Transport","23","238843.11 (259424.64)","171215.56"
"11","Steel","20","19266.64 (22504.93)","8979.27"
"12","Healthcare","20","13012.27 (14296.95)","4332.54"
"13","Energy Storage","18","81884.05 (120806.74)","94581.97"
"14","Telecommunication","15","152734.45 (274826.98)","77535.98"
"15","Shipping","9","15124.41 (15290.87)","8975.5"
"16","Metals & Mining","7","10044.36 (12480.73)","6763.36"
"17","Real Estate","6","37591.1 (37591.1)","715.23"
"18","Inland Waterways","3","68792.18 (68504.15)","33296.83"
"19","Construction","2","899.37 (899.37)","194.43"
"20","Tourism, Hospitality & Wellness","1","573 (1238.05)","515.97"
