target,feature_set,model,transformed_feature,importance
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,num__expenditure_to_revised_cost,0.08101564
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,num__expenditure_to_original_cost,0.06670319
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,num__original_cost_current,0.06483741
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,num__expenditure_current,0.06409348
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,num__revised_cost_current,0.05290908
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,num__project_age_months,0.05011952
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,num__progress_current,0.04888541
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,num__cost_revision_pct_current,0.04720839
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,num__effective_target_months_from_cutoff,0.03822038
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,num__expenditure_change_1m,0.02950208
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,cat__state_Himachal Pradesh,0.02399270
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,cat__agency_Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,0.02332445
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,cat__ministry_Ministry of Health & Family Welfare,0.02321242
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,num__progress_change_1m,0.02175287
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,cat__agency_Central Railway [CR] - II,0.02096409
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,cat__state_Chhattisgarh,0.01425179
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,cat__sector_Healthcare,0.01329383
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,cat__agency_Indian Railway Construction International Limited [IRCON],0.01289568
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,num__progress_change_3m,0.01095875
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,num__progress_velocity_3m,0.01073288
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,cat__sector_Electricity Generation,0.01042047
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,num__expenditure_change_3m,0.00925439
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,num__expenditure_velocity_3m,0.00915314
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,cat__agency_Hindustan Petroleum Corporation Limited,0.00865288
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,cat__sector_Oil & Gas,0.00836988
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,num__months_observed,0.00833765
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,cat__ministry_Ministry of Power,0.00831290
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,cat__agency_South Eastern Railway [SER] - I,0.00830476
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,cat__agency_Karnataka Rail Infrastructure Development Company Limited [K-RIDE],0.00774131
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,cat__agency_National Thermal Power Corporation [NTPC],0.00728920
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,cat__agency_Railway,0.00703481
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,num__missingindicator_months_since_material_progress_change,0.00698715
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,num__missingindicator_months_since_schedule_revision,0.00681583
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,cat__sector_Railways,0.00656162
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,num__months_since_first_observation,0.00654946
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,cat__state_Assam,0.00654775
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,cat__state_Maharashtra,0.00648542
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,num__months_since_material_progress_change,0.00612004
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,cat__state_West Bengal,0.00611696
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,cat__state_Haryana,0.00610075
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,cat__ministry_Ministry of Railways,0.00577833
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,cat__ministry_Ministry of Petroleum & Natural Gas,0.00528897
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,num__progress_acceleration_3m,0.00494622
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,cat__sector_Coal,0.00462125
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,cat__ministry_Ministry of Coal,0.00450369
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,cat__agency_Ministry of Petroleum & Natural Gas,0.00415240
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,cat__ministry_Ministry of Housing & Urban Affairs,0.00406873
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,num__schedule_revision_count_to_date,0.00395687
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,"cat__ministry_Department of Water Resources, River Development & GR",0.00377956
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,num__missingindicator_progress_acceleration_3m,0.00371190
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,num__missingindicator_effective_target_months_from_cutoff,0.00370488
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,num__months_since_cost_revision,0.00329830
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,num__missingindicator_progress_change_1m,0.00328414
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,cat__state_Andhra Pradesh,0.00320528
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,cat__agency_Oil and Natural Gas Corporation Limited [ONGC],0.00316506
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,cat__agency_Maharashtra Metro Rail Corporation Limited [MMRCL],0.00303101
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,cat__state_Gujarat,0.00294100
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,cat__sector_Water Resources,0.00286735
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,cat__agency_Ministry of Housing & Urban Affairs,0.00284840
future_cost_increase_5pct_6m,CORE_PLUS_CONDITIONAL,Random Forest,num__missingindicator_expenditure_change_1m,0.00283638
