feature_name,missing_rate,unique_values,train_mean,train_std,test_mean,train_test_distribution_difference,train_target_correlation,drift_assessment,flags
sector,0.000000,22,,,,0.454123,,POTENTIALLY_PROBLEMATIC,DISTRIBUTION_SHIFT
progress_current,0.000000,1581,52.927555,34.152830,57.877052,0.144922,0.281521,EXPECTED,NONE
expenditure_current,0.000000,7065,1546.967839,5749.731604,943.027720,0.105038,-0.023707,EXPECTED,NONE
original_cost_current,0.000000,2003,2293.201334,5687.457212,1795.099555,0.087579,-0.064207,EXPECTED,NONE
progress_change_1m,0.167582,706,1.273697,4.844648,2.018415,0.153720,0.004087,EXPECTED,PERIOD_DOMINATED_MISSINGNESS
progress_change_3m,0.497885,834,3.581683,7.522150,7.218526,0.483484,0.086736,EXPECTED,PERIOD_DOMINATED_MISSINGNESS;POTENTIALLY_REDUNDANT
progress_velocity_3m,0.497885,834,1.193894,2.507383,2.406175,0.483484,0.086736,EXPECTED,PERIOD_DOMINATED_MISSINGNESS;POTENTIALLY_REDUNDANT
progress_acceleration_3m,0.338493,896,0.150891,6.695730,-0.480155,0.094246,-0.025233,EXPECTED,PERIOD_DOMINATED_MISSINGNESS
expenditure_change_1m,0.167582,3483,38.931502,943.525670,27.760649,0.011839,-0.013569,EXPECTED,PERIOD_DOMINATED_MISSINGNESS;POTENTIALLY_REDUNDANT
expenditure_change_3m,0.497885,3544,75.413798,1251.938979,25.211569,0.040100,-0.032701,EXPECTED,PERIOD_DOMINATED_MISSINGNESS;POTENTIALLY_REDUNDANT
expenditure_velocity_3m,0.497885,3544,25.137933,417.312993,8.403856,0.040100,-0.032701,EXPECTED,PERIOD_DOMINATED_MISSINGNESS;POTENTIALLY_REDUNDANT
cost_revision_count_to_date,0.000000,3,0.051844,0.241055,0.056116,0.017725,-0.032750,EXPECTED,NONE
months_since_cost_revision,0.952840,9,1.396226,1.314731,4.041176,2.011781,-0.078458,POTENTIALLY_PROBLEMATIC,HIGH_MISSING;DISTRIBUTION_SHIFT
schedule_revision_count_to_date,0.000000,6,0.153073,0.425008,0.681116,1.242434,0.053084,POTENTIALLY_PROBLEMATIC,DISTRIBUTION_SHIFT
months_since_schedule_revision,0.744037,9,1.051458,1.162454,0.934537,0.100581,-0.132404,EXPECTED,HIGH_MISSING;PERIOD_DOMINATED_MISSINGNESS
months_since_material_progress_change,0.447304,9,0.524428,0.909833,0.974909,0.495125,-0.080570,EXPECTED,PERIOD_DOMINATED_MISSINGNESS
expenditure_to_original_cost,0.000000,7258,0.672394,1.785479,0.444578,0.127594,0.030492,EXPECTED,NONE
months_observed,0.000000,10,3.158659,1.734330,5.579869,1.396049,-0.230057,POTENTIALLY_PROBLEMATIC,DISTRIBUTION_SHIFT;POTENTIALLY_REDUNDANT
months_since_first_observation,0.000000,10,2.175196,1.745077,4.679632,1.435144,-0.232951,POTENTIALLY_PROBLEMATIC,DISTRIBUTION_SHIFT;POTENTIALLY_REDUNDANT
revised_cost_missing,0.000000,2,0.021453,0.144903,0.020487,0.006664,-0.018253,EXPECTED,NONE
progress_missing,0.000000,1,0.000000,0.000000,0.000000,,,EXPECTED,NEAR_CONSTANT
state,0.017910,182,,,,0.180134,,EXPECTED,NONE
ministry,0.000000,16,,,,0.458241,,POTENTIALLY_PROBLEMATIC,DISTRIBUTION_SHIFT
agency,0.015210,228,,,,0.468446,,POTENTIALLY_PROBLEMATIC,DISTRIBUTION_SHIFT
project_age_months,0.000000,357,69.628156,62.621336,51.279394,0.293011,-0.055668,EXPECTED,NONE
revised_cost_current,0.018810,2028,2079.023693,4003.088500,1490.464580,0.147026,-0.065404,EXPECTED,NONE
effective_target_months_from_cutoff,0.000000,196,13.412514,21.793082,10.262767,0.144530,-0.416050,EXPECTED,NONE
expenditure_to_revised_cost,0.018810,7072,0.548595,1.701244,0.429140,0.070216,0.047874,EXPECTED,NONE
cost_revision_pct_current,0.000000,900,0.169080,0.698868,0.087118,0.117279,-0.052279,EXPECTED,NONE
