identity_key,project_code,alternate_identifier,first_observed_month,last_observed_month,number_of_months,consecutive_months,gaps,months_before_first_revision,months_before_last_revision,eligible_cutoffs_3m,eligible_cutoffs_6m
L:N04000073,,N04000073,2025-04,2025-06,3,3,0,,,0,0
L:N04000074,,N04000074,2025-04,2025-06,3,3,0,,,0,0
L:N04000076,,N04000076,2025-04,2025-06,3,3,0,,,0,0
L:N04000077,,N04000077,2025-04,2025-06,3,3,0,,,0,0
L:N04000078,,N04000078,2025-04,2025-06,3,3,0,1,1,0,0
L:N04000079,,N04000079,2025-04,2025-06,3,3,0,,,0,0
L:N04000080,,N04000080,2025-04,2025-06,3,3,0,,,0,0
L:N04000081,,N04000081,2025-04,2025-06,3,3,0,1,1,0,0
L:N04000082,,N04000082,2025-04,2025-06,3,3,0,2,2,0,0
L:N04000083,,N04000083,2025-04,2025-06,3,3,0,2,2,0,0
L:N04000085,,N04000085,2025-04,2025-06,3,3,0,,,0,0
L:N04000087,,N04000087,2025-04,2025-06,3,3,0,,,0,0
L:N04000088,,N04000088,2025-04,2025-06,3,3,0,,,0,0
L:N04000090,,N04000090,2025-04,2025-06,3,3,0,,,0,0
L:N04000091,,N04000091,2025-04,2025-06,3,3,0,,,0,0
L:N04000092,,N04000092,2025-04,2025-06,3,3,0,1,2,0,0
L:N04000093,,N04000093,2025-04,2025-06,3,3,0,,,0,0
L:N04000094,,N04000094,2025-04,2025-06,3,3,0,1,2,0,0
L:N04000095,,N04000095,2025-04,2025-06,3,3,0,1,1,0,0
L:N04000096,,N04000096,2025-04,2025-06,3,3,0,1,1,0,0
L:N04000098,,N04000098,2025-04,2025-06,3,3,0,,,0,0
L:N04000099,,N04000099,2025-04,2025-06,3,3,0,,,0,0
L:N04000100,,N04000100,2025-04,2025-06,3,3,0,2,2,0,0
L:N04000101,,N04000101,2025-04,2025-06,3,3,0,,,0,0
L:N04000102,,N04000102,2025-04,2025-06,3,3,0,1,1,0,0
L:N04000103,,N04000103,2025-04,2025-06,3,3,0,,,0,0
L:N04000104,,N04000104,2025-04,2025-06,3,3,0,,,0,0
L:N04000105,,N04000105,2025-04,2025-06,3,3,0,,,0,0
L:N04000106,,N04000106,2025-04,2025-06,3,3,0,2,2,0,0
L:N04000107,,N04000107,2025-04,2025-06,3,3,0,,,0,0
L:N04000108,,N04000108,2025-04,2025-06,3,3,0,,,0,0
L:N04000109,,N04000109,2025-04,2025-06,3,3,0,,,0,0
L:N04000110,,N04000110,2025-04,2025-06,3,3,0,,,0,0
L:N04000111,,N04000111,2025-04,2025-06,3,3,0,1,1,0,0
L:N04000112,,N04000112,2025-04,2025-06,3,3,0,,,0,0
L:N04000113,,N04000113,2025-04,2025-06,3,3,0,,,0,0
L:N04000114,,N04000114,2025-04,2025-06,3,3,0,,,0,0
L:N04000115,,N04000115,2025-04,2025-06,3,3,0,,,0,0
L:N06000045,,N06000045,2025-04,2025-06,3,3,0,,,0,0
L:N06000087,,N06000087,2025-04,2025-06,3,3,0,,,0,0
L:N06000096,,N06000096,2025-04,2025-06,3,3,0,,,0,0
L:N06000098,,N06000098,2025-04,2025-06,3,3,0,,,0,0
L:N06000104,,N06000104,2025-04,2025-06,3,3,0,,,0,0
L:N06000112,,N06000112,2025-04,2025-06,3,3,0,,,0,0
L:N06000113,,N06000113,2025-04,2025-06,3,3,0,,,0,0
L:N06000123,,N06000123,2025-04,2025-06,3,3,0,,,0,0
L:N06000125,,N06000125,2025-04,2025-06,3,3,0,,,0,0
L:N06000132,,N06000132,2025-04,2025-06,3,3,0,,,0,0
L:N06000135,,N06000135,2025-04,2025-06,3,3,0,,,0,0
L:N06000148,,N06000148,2025-04,2025-06,3,3,0,,,0,0
L:N06000152,,N06000152,2025-04,2025-06,3,3,0,,,0,0
L:N06000154,,N06000154,2025-04,2025-06,3,3,0,,,0,0
L:N06000161,,N06000161,2025-04,2025-06,3,3,0,,,0,0
L:N06000163,,N06000163,2025-04,2025-06,3,3,0,,,0,0
L:N06000164,,N06000164,2025-04,2025-06,3,3,0,,,0,0
L:N06000165,,N06000165,2025-04,2025-06,3,3,0,,,0,0
L:N06000166,,N06000166,2025-04,2025-06,3,3,0,,,0,0
L:N06000167,,N06000167,2025-04,2025-06,3,3,0,,,0,0
L:N06000169,,N06000169,2025-04,2025-06,3,3,0,,,0,0
L:N06000170,,N06000170,2025-04,2025-06,3,3,0,,,0,0
L:N06000171,,N06000171,2025-04,2025-06,3,3,0,,,0,0
L:N06000179,,N06000179,2025-04,2025-06,3,3,0,,,0,0
L:N06000183,,N06000183,2025-04,2025-06,3,3,0,,,0,0
L:N06000184,,N06000184,2025-04,2025-06,3,3,0,,,0,0
L:N06000186,,N06000186,2025-04,2025-06,3,3,0,,,0,0
L:N06000189,,N06000189,2025-04,2025-04,1,1,0,,,0,0
L:N06000191,,N06000191,2025-04,2025-06,3,3,0,,,0,0
L:N06000192,,N06000192,2025-04,2025-06,3,3,0,,,0,0
L:N06000193,,N06000193,2025-04,2025-06,3,3,0,,,0,0
L:N06000194,,N06000194,2025-04,2025-06,3,3,0,,,0,0
L:N06000195,,N06000195,2025-04,2025-06,3,3,0,,,0,0
L:N06000196,,N06000196,2025-04,2025-06,3,3,0,,,0,0
L:N06000197,,N06000197,2025-04,2025-06,3,3,0,,,0,0
L:N06000198,,N06000198,2025-04,2025-06,3,3,0,,,0,0
L:N06000199,,N06000199,2025-04,2025-06,3,3,0,,,0,0
L:N06000200,,N06000200,2025-04,2025-06,3,3,0,,,0,0
L:N06000202,,N06000202,2025-04,2025-06,3,3,0,,,0,0
L:N06000203,,N06000203,2025-04,2025-06,3,3,0,,,0,0
L:N06000204,,N06000204,2025-04,2025-06,3,3,0,,,0,0
L:N06000205,,N06000205,2025-04,2025-06,3,3,0,,,0,0
L:N06000206,,N06000206,2025-04,2025-06,3,3,0,,,0,0
L:N06000208,,N06000208,2025-04,2025-06,3,3,0,,,0,0
L:N06000209,,N06000209,2025-04,2025-06,3,3,0,,,0,0
L:N06000210,,N06000210,2025-04,2025-06,3,3,0,,,0,0
L:N06000211,,N06000211,2025-04,2025-06,3,3,0,,,0,0
L:N06000213,,N06000213,2025-04,2025-06,3,3,0,,,0,0
L:N06000214,,N06000214,2025-04,2025-06,3,3,0,,,0,0
L:N06000216,,N06000216,2025-04,2025-06,3,3,0,,,0,0
L:N06000217,,N06000217,2025-04,2025-06,3,3,0,,,0,0
L:N06000218,,N06000218,2025-04,2025-06,3,3,0,,,0,0
L:N06000219,,N06000219,2025-04,2025-06,3,3,0,,,0,0
L:N06000220,,N06000220,2025-04,2025-06,3,3,0,,,0,0
L:N06000222,,N06000222,2025-04,2025-06,3,3,0,,,0,0
L:N06000223,,N06000223,2025-04,2025-06,3,3,0,,,0,0
