report_month,project_id,anomaly_type,value,previous_value,severity,source_file,source_page,notes
2025-11,10362,DECREASE_PHYSICAL_PROGRESS,51.0,59.0,REVIEW,FlashReport_November_2025.pdf,69,Source value retained unchanged; decrease is not treated as an error.
2026-01,11783,DECREASE_EXPENDITURE,8174.39,8613.21,REVIEW,FlashReport_January_2026.pdf,78,Source value retained unchanged; decrease is not treated as an error.
2026-01,16724,DECREASE_EXPENDITURE,12129.01,12484.41,REVIEW,FlashReport_January_2026.pdf,76,Source value retained unchanged; decrease is not treated as an error.
2026-01,17825,DECREASE_EXPENDITURE,13005.66,13229.31,REVIEW,FlashReport_January_2026.pdf,76,Source value retained unchanged; decrease is not treated as an error.
2025-05,220100232,DECREASE_EXPENDITURE,2500.34,2520.04,REVIEW,FR_May2025.pdf,145,Source value retained unchanged; decrease is not treated as an error.
2025-10,34012,DECREASE_EXPENDITURE,32184.03,33238.5,REVIEW,FlashReport_October_2025.pdf,55,Source value retained unchanged; decrease is not treated as an error.
2026-01,36225,DECREASE_EXPENDITURE,26027.54,27829.24,REVIEW,FlashReport_January_2026.pdf,76,Source value retained unchanged; decrease is not treated as an error.
2026-01,400012,DECREASE_EXPENDITURE,8056.6,8217.69,REVIEW,FlashReport_January_2026.pdf,75,Source value retained unchanged; decrease is not treated as an error.
2026-07,400012,DECREASE_EXPENDITURE,8504.21,8672.35,REVIEW,FlashReport_July_2026-1.pdf,71,Source value retained unchanged; decrease is not treated as an error.
2026-06,400013,DECREASE_EXPENDITURE,8553.1,9791.8,REVIEW,FlashReport_June_2026.pdf,157,Source value retained unchanged; decrease is not treated as an error.
2026-07,400013,DISAPPEAR_REAPPEAR,2025-09;2025-10;2025-11;2025-12;2026-01,,REVIEW,FlashReport_July_2026-1.pdf,150,Missing between observed months; not interpreted as completion.
2026-04,400018,DECREASE_EXPENDITURE,455.25,455.31,REVIEW,FlashReport_April2026.pdf,57,Source value retained unchanged; decrease is not treated as an error.
2025-08,400019,DECREASE_ORIGINAL_COST,492.76,493.0,REVIEW,FlashReport_August_2025.pdf,58,Source value retained unchanged; decrease is not treated as an error.
2025-08,400019,DECREASE_REVISED_COST,1170.83,1171.0,REVIEW,FlashReport_August_2025.pdf,58,Source value retained unchanged; decrease is not treated as an error.
2026-07,400022,DECREASE_EXPENDITURE,1953.58,2616.51,REVIEW,FlashReport_July_2026-1.pdf,86,Source value retained unchanged; decrease is not treated as an error.
2026-05,400023,DECREASE_PHYSICAL_PROGRESS,0.0,0.3,REVIEW,FlashReport_May2026.pdf,83,Source value retained unchanged; decrease is not treated as an error.
2026-07,400023,DISAPPEAR_REAPPEAR,2025-09,,REVIEW,FlashReport_July_2026-1.pdf,83,Missing between observed months; not interpreted as completion.
2026-01,400035,DECREASE_EXPENDITURE,500.52,526.86,REVIEW,FlashReport_January_2026.pdf,75,Source value retained unchanged; decrease is not treated as an error.
2026-01,400043,DECREASE_EXPENDITURE,331.77,339.98,REVIEW,FlashReport_January_2026.pdf,75,Source value retained unchanged; decrease is not treated as an error.
2026-07,400043,DECREASE_EXPENDITURE,382.47,382.96,REVIEW,FlashReport_July_2026-1.pdf,71,Source value retained unchanged; decrease is not treated as an error.
2026-07,400062,DISAPPEAR_REAPPEAR,2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03,,REVIEW,FlashReport_July_2026-1.pdf,63,Missing between observed months; not interpreted as completion.
2025-08,400073,DECREASE_EXPENDITURE,424.01,426.16,REVIEW,FlashReport_August_2025.pdf,38,Source value retained unchanged; decrease is not treated as an error.
2025-12,400073,DECREASE_EXPENDITURE,429.33,429.65,REVIEW,FlashReport_December_2025.pdf,51,Source value retained unchanged; decrease is not treated as an error.
2026-03,400073,DECREASE_EXPENDITURE,429.61,429.94,REVIEW,FlashReport_March_2026.pdf,57,Source value retained unchanged; decrease is not treated as an error.
2026-06,400073,DECREASE_EXPENDITURE,172.3,433.64,REVIEW,FlashReport_June_2026.pdf,61,Source value retained unchanged; decrease is not treated as an error.
2025-08,400073,DECREASE_PHYSICAL_PROGRESS,45.0,46.0,REVIEW,FlashReport_August_2025.pdf,38,Source value retained unchanged; decrease is not treated as an error.
2026-05,400073,DECREASE_PHYSICAL_PROGRESS,46.25,53.47,REVIEW,FlashReport_May2026.pdf,56,Source value retained unchanged; decrease is not treated as an error.
2026-05,400073,DECREASE_ORIGINAL_COST,674.65,799.34,REVIEW,FlashReport_May2026.pdf,56,Source value retained unchanged; decrease is not treated as an error.
2026-05,400073,DECREASE_REVISED_COST,674.65,799.34,REVIEW,FlashReport_May2026.pdf,56,Source value retained unchanged; decrease is not treated as an error.
2026-06,400074,DECREASE_EXPENDITURE,208.28,289.45,REVIEW,FlashReport_June_2026.pdf,61,Source value retained unchanged; decrease is not treated as an error.
2026-05,400074,DECREASE_PHYSICAL_PROGRESS,22.38,23.57,REVIEW,FlashReport_May2026.pdf,56,Source value retained unchanged; decrease is not treated as an error.
2026-05,400074,DECREASE_ORIGINAL_COST,849.31,908.47,REVIEW,FlashReport_May2026.pdf,56,Source value retained unchanged; decrease is not treated as an error.
2026-05,400074,DECREASE_REVISED_COST,849.31,908.47,REVIEW,FlashReport_May2026.pdf,56,Source value retained unchanged; decrease is not treated as an error.
2026-01,400077,DECREASE_EXPENDITURE,641.34,649.51,REVIEW,FlashReport_January_2026.pdf,75,Source value retained unchanged; decrease is not treated as an error.
2026-01,400078,DECREASE_EXPENDITURE,7290.7,7394.54,REVIEW,FlashReport_January_2026.pdf,75,Source value retained unchanged; decrease is not treated as an error.
2026-03,400078,DECREASE_EXPENDITURE,7132.48,7343.81,REVIEW,FlashReport_March_2026.pdf,71,Source value retained unchanged; decrease is not treated as an error.
2025-12,400097,DECREASE_EXPENDITURE,4956.98,4957.08,REVIEW,FlashReport_December_2025.pdf,106,Source value retained unchanged; decrease is not treated as an error.
2025-09,400097,DECREASE_PHYSICAL_PROGRESS,90.0,90.3,REVIEW,FlashReport_September_2025.pdf,70,Source value retained unchanged; decrease is not treated as an error.
2025-09,400104,DECREASE_EXPENDITURE,447.68,469.66,REVIEW,FlashReport_September_2025.pdf,70,Source value retained unchanged; decrease is not treated as an error.
2025-08,400105,DECREASE_PHYSICAL_PROGRESS,76.0,76.22,REVIEW,FlashReport_August_2025.pdf,65,Source value retained unchanged; decrease is not treated as an error.
2025-08,400115,DECREASE_EXPENDITURE,746.19,777.99,REVIEW,FlashReport_August_2025.pdf,65,Source value retained unchanged; decrease is not treated as an error.
2025-08,400120,DECREASE_EXPENDITURE,33238.47,35498.35,REVIEW,FlashReport_August_2025.pdf,50,Source value retained unchanged; decrease is not treated as an error.
2026-02,400120,DECREASE_EXPENDITURE,32765.11,33238.47,REVIEW,FlashReport_February_2026.pdf,82,Source value retained unchanged; decrease is not treated as an error.
2026-07,400120,DISAPPEAR_REAPPEAR,2025-09;2025-10;2025-11;2025-12;2026-01,,REVIEW,FlashReport_July_2026-1.pdf,72,Missing between observed months; not interpreted as completion.
2026-01,400136,DECREASE_EXPENDITURE,6.57,6.61,REVIEW,FlashReport_January_2026.pdf,63,Source value retained unchanged; decrease is not treated as an error.
2026-07,400136,DECREASE_EXPENDITURE,17.03,17.4,REVIEW,FlashReport_July_2026-1.pdf,57,Source value retained unchanged; decrease is not treated as an error.
2025-09,400138,DECREASE_PHYSICAL_PROGRESS,24.0,25.0,REVIEW,FlashReport_September_2025.pdf,43,Source value retained unchanged; decrease is not treated as an error.
2026-04,400139,DECREASE_EXPENDITURE,455.95,464.57,REVIEW,FlashReport_April2026.pdf,57,Source value retained unchanged; decrease is not treated as an error.
2026-05,400139,DECREASE_PHYSICAL_PROGRESS,45.52,47.95,REVIEW,FlashReport_May2026.pdf,56,Source value retained unchanged; decrease is not treated as an error.
2026-07,400139,DECREASE_ORIGINAL_COST,625.4,861.06,REVIEW,FlashReport_July_2026-1.pdf,57,Source value retained unchanged; decrease is not treated as an error.
2025-08,400148,DECREASE_EXPENDITURE,273.45,274.45,REVIEW,FlashReport_August_2025.pdf,39,Source value retained unchanged; decrease is not treated as an error.
2026-06,400148,DECREASE_EXPENDITURE,324.92,325.4,REVIEW,FlashReport_June_2026.pdf,62,Source value retained unchanged; decrease is not treated as an error.
2025-12,400150,DECREASE_EXPENDITURE,1599.39,1600.77,REVIEW,FlashReport_December_2025.pdf,51,Source value retained unchanged; decrease is not treated as an error.
2026-04,400150,DECREASE_EXPENDITURE,1688.4,1700.48,REVIEW,FlashReport_April2026.pdf,57,Source value retained unchanged; decrease is not treated as an error.
2026-05,400150,DECREASE_PHYSICAL_PROGRESS,39.3,40.21,REVIEW,FlashReport_May2026.pdf,56,Source value retained unchanged; decrease is not treated as an error.
2026-06,400150,DECREASE_ORIGINAL_COST,6964.33,7254.37,REVIEW,FlashReport_June_2026.pdf,61,Source value retained unchanged; decrease is not treated as an error.
2026-06,400150,DECREASE_REVISED_COST,6964.33,7254.37,REVIEW,FlashReport_June_2026.pdf,61,Source value retained unchanged; decrease is not treated as an error.
2026-01,400151,DECREASE_EXPENDITURE,602.95,696.05,REVIEW,FlashReport_January_2026.pdf,63,Source value retained unchanged; decrease is not treated as an error.
2026-06,400151,DECREASE_EXPENDITURE,598.32,606.01,REVIEW,FlashReport_June_2026.pdf,61,Source value retained unchanged; decrease is not treated as an error.
2026-05,400151,DECREASE_PHYSICAL_PROGRESS,68.75,71.38,REVIEW,FlashReport_May2026.pdf,56,Source value retained unchanged; decrease is not treated as an error.
2026-06,400151,DECREASE_ORIGINAL_COST,634.3,778.8,REVIEW,FlashReport_June_2026.pdf,61,Source value retained unchanged; decrease is not treated as an error.
2026-06,400151,DECREASE_REVISED_COST,634.3,778.8,REVIEW,FlashReport_June_2026.pdf,61,Source value retained unchanged; decrease is not treated as an error.
2026-04,400153,DECREASE_EXPENDITURE,84.94,85.45,REVIEW,FlashReport_April2026.pdf,57,Source value retained unchanged; decrease is not treated as an error.
2026-05,400153,DECREASE_PHYSICAL_PROGRESS,22.54,22.84,REVIEW,FlashReport_May2026.pdf,56,Source value retained unchanged; decrease is not treated as an error.
2026-06,400153,DECREASE_ORIGINAL_COST,995.57,1020.42,REVIEW,FlashReport_June_2026.pdf,61,Source value retained unchanged; decrease is not treated as an error.
2026-06,400153,DECREASE_REVISED_COST,995.57,1020.42,REVIEW,FlashReport_June_2026.pdf,61,Source value retained unchanged; decrease is not treated as an error.
2026-07,400154,DECREASE_EXPENDITURE,14.78,236.58,REVIEW,FlashReport_July_2026-1.pdf,57,Source value retained unchanged; decrease is not treated as an error.
2026-06,400154,DECREASE_ORIGINAL_COST,639.6,713.35,REVIEW,FlashReport_June_2026.pdf,61,Source value retained unchanged; decrease is not treated as an error.
2026-06,400154,DECREASE_REVISED_COST,639.6,713.35,REVIEW,FlashReport_June_2026.pdf,61,Source value retained unchanged; decrease is not treated as an error.
2025-12,400155,DECREASE_EXPENDITURE,185.04,185.06,REVIEW,FlashReport_December_2025.pdf,51,Source value retained unchanged; decrease is not treated as an error.
2026-04,400155,DECREASE_EXPENDITURE,185.19,186.16,REVIEW,FlashReport_April2026.pdf,57,Source value retained unchanged; decrease is not treated as an error.
2026-05,400155,DECREASE_PHYSICAL_PROGRESS,27.51,28.85,REVIEW,FlashReport_May2026.pdf,56,Source value retained unchanged; decrease is not treated as an error.
2026-05,400155,DECREASE_ORIGINAL_COST,2821.07,2898.28,REVIEW,FlashReport_May2026.pdf,56,Source value retained unchanged; decrease is not treated as an error.
2026-05,400155,DECREASE_REVISED_COST,2821.07,2898.28,REVIEW,FlashReport_May2026.pdf,56,Source value retained unchanged; decrease is not treated as an error.
2025-09,400156,DECREASE_PHYSICAL_PROGRESS,42.0,43.0,REVIEW,FlashReport_September_2025.pdf,44,Source value retained unchanged; decrease is not treated as an error.
2026-05,400156,DECREASE_PHYSICAL_PROGRESS,43.58,44.45,REVIEW,FlashReport_May2026.pdf,56,Source value retained unchanged; decrease is not treated as an error.
2026-06,400156,DECREASE_ORIGINAL_COST,4983.57,5136.15,REVIEW,FlashReport_June_2026.pdf,61,Source value retained unchanged; decrease is not treated as an error.
2026-06,400156,DECREASE_REVISED_COST,4983.57,5136.15,REVIEW,FlashReport_June_2026.pdf,61,Source value retained unchanged; decrease is not treated as an error.
2026-07,400160,DECREASE_EXPENDITURE,488.71,489.2,REVIEW,FlashReport_July_2026-1.pdf,57,Source value retained unchanged; decrease is not treated as an error.
2026-05,400160,DECREASE_PHYSICAL_PROGRESS,76.99,78.25,REVIEW,FlashReport_May2026.pdf,56,Source value retained unchanged; decrease is not treated as an error.
2026-06,400160,DECREASE_PHYSICAL_PROGRESS,75.61,76.99,REVIEW,FlashReport_June_2026.pdf,61,Source value retained unchanged; decrease is not treated as an error.
2025-08,400162,DECREASE_EXPENDITURE,457.2,458.01,REVIEW,FlashReport_August_2025.pdf,39,Source value retained unchanged; decrease is not treated as an error.
2026-07,400162,DECREASE_EXPENDITURE,545.34,684.46,REVIEW,FlashReport_July_2026-1.pdf,58,Source value retained unchanged; decrease is not treated as an error.
2026-06,400166,DECREASE_EXPENDITURE,3491.08,3491.21,REVIEW,FlashReport_June_2026.pdf,64,Source value retained unchanged; decrease is not treated as an error.
2025-10,400167,DECREASE_EXPENDITURE,1139.5,1157.0,REVIEW,FlashReport_October_2025.pdf,56,Source value retained unchanged; decrease is not treated as an error.
2026-01,400167,DECREASE_EXPENDITURE,1143.03,1145.85,REVIEW,FlashReport_January_2026.pdf,76,Source value retained unchanged; decrease is not treated as an error.
2026-05,400167,DECREASE_EXPENDITURE,1113.19,1152.51,REVIEW,FlashReport_May2026.pdf,72,Source value retained unchanged; decrease is not treated as an error.
2026-07,400168,DISAPPEAR_REAPPEAR,2025-09;2025-10;2025-11;2025-12;2026-01,,REVIEW,FlashReport_July_2026-1.pdf,74,Missing between observed months; not interpreted as completion.
2026-04,400169,DECREASE_REVISED_COST,845.42,860.04,REVIEW,FlashReport_April2026.pdf,73,Source value retained unchanged; decrease is not treated as an error.
2026-07,400171,DECREASE_EXPENDITURE,1291.35,1293.34,REVIEW,FlashReport_July_2026-1.pdf,75,Source value retained unchanged; decrease is not treated as an error.
2026-06,400171,DECREASE_PHYSICAL_PROGRESS,94.0,95.8,REVIEW,FlashReport_June_2026.pdf,79,Source value retained unchanged; decrease is not treated as an error.
2026-06,400174,DECREASE_PHYSICAL_PROGRESS,63.76,64.0,REVIEW,FlashReport_June_2026.pdf,83,Source value retained unchanged; decrease is not treated as an error.
2025-11,400177,DECREASE_EXPENDITURE,539.9,539.93,REVIEW,FlashReport_November_2025.pdf,44,Source value retained unchanged; decrease is not treated as an error.
2026-01,400177,DECREASE_EXPENDITURE,539.0,539.9,REVIEW,FlashReport_January_2026.pdf,64,Source value retained unchanged; decrease is not treated as an error.
2026-02,400177,DECREASE_EXPENDITURE,538.98,539.0,REVIEW,FlashReport_February_2026.pdf,68,Source value retained unchanged; decrease is not treated as an error.
2026-05,400177,DECREASE_EXPENDITURE,563.23,563.25,REVIEW,FlashReport_May2026.pdf,57,Source value retained unchanged; decrease is not treated as an error.
2026-05,400178,DECREASE_EXPENDITURE,649.83,652.67,REVIEW,FlashReport_May2026.pdf,57,Source value retained unchanged; decrease is not treated as an error.
2025-10,400178,DECREASE_PHYSICAL_PROGRESS,34.0,35.0,REVIEW,FlashReport_October_2025.pdf,44,Source value retained unchanged; decrease is not treated as an error.
2025-09,400180,DECREASE_EXPENDITURE,81.9,81.95,REVIEW,FlashReport_September_2025.pdf,46,Source value retained unchanged; decrease is not treated as an error.
2025-08,400181,DECREASE_EXPENDITURE,67.61,70.97,REVIEW,FlashReport_August_2025.pdf,41,Source value retained unchanged; decrease is not treated as an error.
2025-08,400181,DECREASE_REVISED_COST,502.67,502.68,REVIEW,FlashReport_August_2025.pdf,41,Source value retained unchanged; decrease is not treated as an error.
2025-08,400182,DECREASE_REVISED_COST,535.17,535.18,REVIEW,FlashReport_August_2025.pdf,41,Source value retained unchanged; decrease is not treated as an error.
