report_month,source_file,source_page,source_section,sl_no,project_name,agency,state,legacy_ocms_code,alternate_id,current_project_code,review_status,failure_type,raw_text_reference,notes
2025-07,FlashReport_July_2025.pdf,37,Table 6: All Ongoing Projects,10,"Construction of NTB complex including apron, taxi track and other associated civil works and electrical & mechanical installations towards Tawi River side at CA Jammu. Jammu and",,,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_July_2025.pdf:p37; Table 6: All Ongoing Projects; sl_no=10,Validation extraction recovered source primary code 611047 at the same report/serial address; the baseline value was blank.
2025-07,FlashReport_July_2025.pdf,37,Table 6: All Ongoing Projects,16,"Procurment of 30 Nos ACFTs of WT Capacity 10KL at Various Airports Multi-States (Andhra Pradesh, (611440) Bihar, Delhi, Gujarat, Jharkhand,",Airport Authority of India [AAI],Karnataka,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_July_2025.pdf:p37; Table 6: All Ongoing Projects; sl_no=16,Validation extraction recovered source primary code 611440 at the same report/serial address; the baseline value was blank.
2025-07,FlashReport_July_2025.pdf,37,Table 6: All Ongoing Projects,17,"Madhya Pradesh, Odisha, Tamil Nadu, Telangana, Uttar Pradesh, West Bengal) SITC of ATM Automation System and ASMGCS [Including SMR & MLAT] for Mumbai, Multi-States (Goa, Navi Mumbai, MOPA [without ASMGCS], HIAL & BIAL Karnataka,",,,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_July_2025.pdf:p37; Table 6: All Ongoing Projects; sl_no=17,Validation extraction recovered source primary code 611570 at the same report/serial address; the baseline value was blank.
2025-07,FlashReport_July_2025.pdf,37,Table 6: All Ongoing Projects,20,"Widening of basic strip at Western Side of Runway Chainage 80m to 920m i/c slope stabilization Measures [Balance work] of uphill and Improvement of Storm Water Drainage System at Pakyong Airport, Sikkim on design & build basis [EPC] with",,Sikkim,,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_July_2025.pdf:p37; Table 6: All Ongoing Projects; sl_no=20,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2025-07,FlashReport_July_2025.pdf,40,Table 6: All Ongoing Projects,109,Master Plan for Jharia and Raniganj Coalfields Multi-States,Bharat Coking Coal Limited [BCCL],Jharkhand,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_July_2025.pdf:p40; Table 6: All Ongoing Projects; sl_no=109,Validation extraction recovered source primary code 400313 at the same report/serial address; the baseline value was blank.
2025-07,FlashReport_July_2025.pdf,40,Table 6: All Ongoing Projects,110,(400313) Bengal) BINA KAKRI AMALGAMATION EXPANSION OPENCAST MINING PROJECT [14 Multi-States MTPA],Northern Coalfields Limited [NCL],Madhya Pradesh,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_July_2025.pdf:p40; Table 6: All Ongoing Projects; sl_no=110,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-07,FlashReport_July_2025.pdf,40,Table 6: All Ongoing Projects,111,Uttar Pradesh) (400369) KHADIA EXPANSION [10 TO 16 MTPA] OPENCAST MINING PROJECT Multi-States,Northern Coalfields Limited [NCL],Madhya Pradesh,,,,IDENTIFIER_FOUND,VERIFIED_PARSER_FAILURE_WRAPPED_OR_BOUNDARY_IDENTIFIER,FlashReport_July_2025.pdf:p40; Table 6: All Ongoing Projects; sl_no=111,Validation extraction recovered source primary code 615183 at the same report/serial address; the baseline value was blank.
2025-07,FlashReport_July_2025.pdf,42,Table 6: All Ongoing Projects,166,"Pakal Dul [Drangdhuran] Hydroelectric Project, 1000 MW Jammu and",National Highways & Infrastructure Development Corporation Ltd. [NHIDCL],,,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_July_2025.pdf:p42; Table 6: All Ongoing Projects; sl_no=166,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2025-07,FlashReport_July_2025.pdf,42,Table 6: All Ongoing Projects,167,Kashmir (8112.12) (602525) Kiru HE Project Jammu and,National Highways & Infrastructure Development Corporation Ltd. [NHIDCL],,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_July_2025.pdf:p42; Table 6: All Ongoing Projects; sl_no=167,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-07,FlashReport_July_2025.pdf,42,Table 6: All Ongoing Projects,168,"Kashmir (4287.59) (602532) Ratle HE Project - 850 MW, Ratle Hydroelectric Power Corporation Limited. Jammu and",National Highways & Infrastructure Development Corporation Ltd. [NHIDCL],,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_July_2025.pdf:p42; Table 6: All Ongoing Projects; sl_no=168,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
