filename,report_month,report_type,pages,format_class,table6_start,table6_end,approx_project_count,legacy_code_present,agency_layout,record_line_pattern,page_break_pattern,sector_headers,special_patterns,risk_level,parser_compatibility,notes
FRApril2025.pdf,2025-04,MONTHLY,273,,0,0,0,,,,,,,HIGH,PARSER_NEEDS_NEW_HANDLER,NO 'All Ongoing Projects' TABLE FOUND. 
FR_May2025.pdf,2025-05,MONTHLY,212,,0,0,0,,,,,,,HIGH,PARSER_NEEDS_NEW_HANDLER,NO 'All Ongoing Projects' TABLE FOUND. 
FR_JUNE_2025.pdf,2025-06,MONTHLY,234,,0,0,0,,,,,,,HIGH,PARSER_NEEDS_NEW_HANDLER,NO 'All Ongoing Projects' TABLE FOUND. 
QPISR_QR_1st_2025-26.pdf,2025-06,QUARTERLY,261,,0,0,0,,,,,,,HIGH,PARSER_NEEDS_NEW_HANDLER,NO 'All Ongoing Projects' TABLE FOUND. 
FlashReport_July_2025.pdf,2025-07,MONTHLY,67,OLD_FORMAT_A,2,66,725,NO,MIXED,MULTI_LINE: name_lines -> sl_no_line -> paren_triple -> project_code,RECORDS_SPLIT (27 occurrences),YES,TOTAL_LINES(33),MEDIUM,PARSER_COMPATIBLE,Table label: Table 4 | Serial numbers detected: 725 | Project codes: 709 | Legacy codes: 0 | Triple paren lines: 38 | Dates on SL line: 722 | Sector/ministry headers: 46 | Total lines: 33 | Agency on SL line: 599 | Agency separate: 162 | Risks: MANY_PAGE_BREAKS
FlashReport_August_2025.pdf,2025-08,MONTHLY,67,OLD_FORMAT_B,2,66,738,NO,MIXED,MULTI_LINE: name_lines -> sl_no_line -> paren_triple -> project_code,RECORDS_SPLIT (26 occurrences),YES,TOTAL_LINES(29),MEDIUM,PARSER_NEEDS_MINOR_ADAPTATION,Table label: Table 4 | Serial numbers detected: 738 | Project codes: 717 | Legacy codes: 0 | Triple paren lines: 646 | Dates on SL line: 0 | Sector/ministry headers: 42 | Total lines: 29 | Agency on SL line: 612 | Agency separate: 158 | Risks: MANY_PAGE_BREAKS
FlashReport_September_2025.pdf,2025-09,MONTHLY,72,TRANSITIONAL_FORMAT,2,71,732,NO,MIXED,MULTI_LINE: name_lines -> sl_no_line -> paren_triple -> project_code,RECORDS_SPLIT (27 occurrences),YES,TOTAL_LINES(31),MEDIUM,PARSER_NEEDS_MINOR_ADAPTATION,Table label: Table 6 | Serial numbers detected: 732 | Project codes: 712 | Legacy codes: 0 | Triple paren lines: 640 | Dates on SL line: 0 | Sector/ministry headers: 44 | Total lines: 31 | Agency on SL line: 601 | Agency separate: 162 | Risks: MANY_PAGE_BREAKS
FlashReport_October_2025.pdf,2025-10,MONTHLY,73,TRANSITIONAL_FORMAT,2,72,756,NO,MIXED,MULTI_LINE: name_lines -> sl_no_line -> paren_triple -> project_code,RECORDS_SPLIT (26 occurrences),YES,TOTAL_LINES(31),MEDIUM,PARSER_NEEDS_MINOR_ADAPTATION,Table label: Table 6 | Serial numbers detected: 756 | Project codes: 736 | Legacy codes: 0 | Triple paren lines: 655 | Dates on SL line: 0 | Sector/ministry headers: 46 | Total lines: 31 | Agency on SL line: 614 | Agency separate: 173 | Risks: MANY_PAGE_BREAKS
FlashReport_November_2025.pdf,2025-11,MONTHLY,73,TRANSITIONAL_FORMAT,2,72,763,NO,MIXED,MULTI_LINE: name_lines -> sl_no_line -> paren_triple -> project_code,RECORDS_SPLIT (28 occurrences),YES,TOTAL_LINES(31),MEDIUM,PARSER_NEEDS_MINOR_ADAPTATION,Table label: Table 6 | Serial numbers detected: 763 | Project codes: 738 | Legacy codes: 0 | Triple paren lines: 655 | Dates on SL line: 0 | Sector/ministry headers: 46 | Total lines: 31 | Agency on SL line: 620 | Agency separate: 175 | Risks: MANY_PAGE_BREAKS
FlashReport_December_2025.pdf,2025-12,MONTHLY,108,TRANSITIONAL_FORMAT,2,107,1305,NO,MIXED,MULTI_LINE: name_lines -> sl_no_line -> paren_triple -> project_code,RECORDS_SPLIT (53 occurrences),YES,TOTAL_LINES(31),MEDIUM,PARSER_NEEDS_MINOR_ADAPTATION,Table label: Table 6 | Serial numbers detected: 1305 | Project codes: 1298 | Legacy codes: 0 | Triple paren lines: 938 | Dates on SL line: 2 | Sector/ministry headers: 47 | Total lines: 31 | Agency on SL line: 734 | Agency separate: 644 | Risks: MANY_PAGE_BREAKS
FlashReport_January_2026.pdf,2026-01,MONTHLY,134,TRANSITIONAL_FORMAT,2,133,1595,NO,MIXED,MULTI_LINE: name_lines -> sl_no_line -> paren_triple -> project_code,RECORDS_SPLIT (68 occurrences),YES,TOTAL_LINES(32),MEDIUM,PARSER_NEEDS_MINOR_ADAPTATION,Table label: Table 6 | Serial numbers detected: 1595 | Project codes: 1601 | Legacy codes: 0 | Triple paren lines: 1093 | Dates on SL line: 4 | Sector/ministry headers: 48 | Total lines: 32 | Agency on SL line: 827 | Agency separate: 870 | Risks: MANY_PAGE_BREAKS
FlashReport_February_2026.pdf,2026-02,MONTHLY,168,NEW_FORMAT_A,2,167,1828,YES,MIXED,MULTI_LINE: name_lines -> sl_no_line -> paren_triple -> project_code -> legacy_code,RECORDS_SPLIT (96 occurrences),YES,TOTAL_LINES(32),MEDIUM,PARSER_COMPATIBLE,Table label: Table 6 | Serial numbers detected: 1828 | Project codes: 1005 | Legacy codes: 1165 | Triple paren lines: 658 | Dates on SL line: 4 | Sector/ministry headers: 48 | Total lines: 32 | Agency on SL line: 595 | Agency separate: 534 | Risks: MANY_PAGE_BREAKS
FlashReport_March_2026.pdf,2026-03,MONTHLY,157,NEW_FORMAT_A,2,156,1822,YES,MIXED,MULTI_LINE: name_lines -> sl_no_line -> paren_triple -> project_code -> legacy_code,RECORDS_SPLIT (98 occurrences),YES,TOTAL_LINES(32),MEDIUM,PARSER_COMPATIBLE,Table label: Table 6 | Serial numbers detected: 1822 | Project codes: 1013 | Legacy codes: 1164 | Triple paren lines: 659 | Dates on SL line: 4 | Sector/ministry headers: 48 | Total lines: 32 | Agency on SL line: 594 | Agency separate: 540 | Risks: MANY_PAGE_BREAKS
FlashReport_April2026.pdf,2026-04,MONTHLY,163,NEW_FORMAT_B,2,162,1862,NO,MIXED,MULTI_LINE: name_lines -> sl_no_line -> paren_triple -> project_code,RECORDS_SPLIT (102 occurrences),YES,TOTAL_LINES(31),HIGH,PARSER_NEEDS_NEW_HANDLER,"Table label: Table 6 | Serial numbers detected: 1862 | Project codes: 538 | Legacy codes: 0 | Triple paren lines: 8 | Dates on SL line: 4 | Sector/ministry headers: 47 | Total lines: 31 | Agency on SL line: 601 | Agency separate: 1704 | Risks: MANY_PAGE_BREAKS, LOW_CODE_RATIO"
FlashReport_May2026.pdf,2026-05,MONTHLY,163,NEW_FORMAT_B,2,162,1868,NO,MIXED,MULTI_LINE: name_lines -> sl_no_line -> paren_triple -> project_code,RECORDS_SPLIT (99 occurrences),YES,TOTAL_LINES(31),HIGH,PARSER_NEEDS_NEW_HANDLER,"Table label: Table 6 | Serial numbers detected: 1868 | Project codes: 546 | Legacy codes: 0 | Triple paren lines: 6 | Dates on SL line: 5 | Sector/ministry headers: 47 | Total lines: 31 | Agency on SL line: 604 | Agency separate: 1700 | Risks: MANY_PAGE_BREAKS, LOW_CODE_RATIO"
FlashReport_June_2026.pdf,2026-06,MONTHLY,161,NEW_FORMAT_B,2,159,1734,NO,MIXED,MULTI_LINE: name_lines -> sl_no_line -> paren_triple -> project_code,RECORDS_SPLIT (96 occurrences),YES,TOTAL_LINES(31),HIGH,PARSER_NEEDS_NEW_HANDLER,"Table label: Table 6 | Serial numbers detected: 1734 | Project codes: 503 | Legacy codes: 0 | Triple paren lines: 6 | Dates on SL line: 5 | Sector/ministry headers: 47 | Total lines: 31 | Agency on SL line: 550 | Agency separate: 504 | Risks: MANY_PAGE_BREAKS, LOW_CODE_RATIO"
FlashReport_July_2026-1.pdf,2026-07,MONTHLY,153,NEW_FORMAT_B,2,152,1659,NO,MIXED,MULTI_LINE: name_lines -> sl_no_line -> paren_triple -> project_code,RECORDS_SPLIT (93 occurrences),YES,TOTAL_LINES(31),HIGH,PARSER_NEEDS_NEW_HANDLER,"Table label: Table 6 | Serial numbers detected: 1659 | Project codes: 497 | Legacy codes: 0 | Triple paren lines: 4 | Dates on SL line: 5 | Sector/ministry headers: 47 | Total lines: 31 | Agency on SL line: 536 | Agency separate: 498 | Risks: MANY_PAGE_BREAKS, LOW_CODE_RATIO"
