feature_name,development_missing_rate,may_july_missing_rate,distribution_difference,prior_phase12_drift_flag,phase15_unlabeled_drift_status
sector,0.000000,0.000000,0.198022,True,STABLE_BY_THRESHOLD
progress_current,0.000000,0.000000,0.106836,False,STABLE_BY_THRESHOLD
expenditure_current,0.000000,0.000000,0.020840,False,STABLE_BY_THRESHOLD
original_cost_current,0.000000,0.000000,0.018736,False,STABLE_BY_THRESHOLD
progress_change_1m,0.167582,0.018472,0.119054,False,STABLE_BY_THRESHOLD
progress_change_3m,0.497885,0.062948,0.087199,False,STABLE_BY_THRESHOLD
progress_velocity_3m,0.497885,0.062948,0.087199,False,STABLE_BY_THRESHOLD
progress_acceleration_3m,0.338493,0.041966,0.058970,False,STABLE_BY_THRESHOLD
expenditure_change_1m,0.167582,0.018472,0.021574,False,STABLE_BY_THRESHOLD
expenditure_change_3m,0.497885,0.062948,0.063526,False,STABLE_BY_THRESHOLD
expenditure_velocity_3m,0.497885,0.062948,0.063526,False,STABLE_BY_THRESHOLD
cost_revision_count_to_date,0.000000,0.000000,0.155736,False,STABLE_BY_THRESHOLD
months_since_cost_revision,0.952840,0.923601,0.267880,True,STABLE_BY_THRESHOLD
schedule_revision_count_to_date,0.000000,0.000000,1.328282,True,POTENTIALLY_PROBLEMATIC
months_since_schedule_revision,0.744037,0.414455,0.402699,False,STABLE_BY_THRESHOLD
months_since_material_progress_change,0.447304,0.239598,0.647964,False,POTENTIALLY_PROBLEMATIC
expenditure_to_original_cost,0.000000,0.000000,0.027198,False,STABLE_BY_THRESHOLD
months_observed,0.000000,0.000000,1.338940,True,POTENTIALLY_PROBLEMATIC
months_since_first_observation,0.000000,0.000000,1.340698,True,POTENTIALLY_PROBLEMATIC
revised_cost_missing,0.000000,0.000000,0.006449,False,STABLE_BY_THRESHOLD
progress_missing,0.000000,0.000000,,False,STABLE_BY_THRESHOLD
state,0.017910,0.011836,0.082886,False,STABLE_BY_THRESHOLD
ministry,0.000000,0.000000,0.198213,True,STABLE_BY_THRESHOLD
agency,0.015210,0.015961,0.356394,True,POTENTIALLY_PROBLEMATIC
project_age_months,0.000000,0.000000,0.829953,False,POTENTIALLY_PROBLEMATIC
revised_cost_current,0.018810,0.017934,0.025322,False,STABLE_BY_THRESHOLD
effective_target_months_from_cutoff,0.000000,0.008250,0.029110,False,STABLE_BY_THRESHOLD
expenditure_to_revised_cost,0.018810,0.017934,0.061621,False,STABLE_BY_THRESHOLD
cost_revision_pct_current,0.000000,0.000000,0.058634,False,STABLE_BY_THRESHOLD
