slice_feature,slice_value,rows,projects,event_rate,roc_auc,precision_at_40,recall_at_40,false_positives,false_negatives,error_rate,sample_status
prediction_month,2025-11,731,731,0.145007,0.778113,0.210000,0.198113,79,85,0.224350,ADEQUATE
prediction_month,2025-12,1243,1243,0.454545,0.849554,0.771635,0.568142,95,244,0.272727,ADEQUATE
prediction_month,2026-01,1453,1453,0.454233,0.870650,0.844380,0.443939,54,367,0.289745,ADEQUATE
prediction_month,2026-02,1815,1815,0.509642,0.850208,0.858491,0.393514,60,561,0.342149,ADEQUATE
prediction_month,2026-03,1701,1701,0.421517,0.811567,0.814706,0.386332,63,440,0.295708,ADEQUATE
prediction_month,2026-04,1667,1667,0.398920,0.841256,0.790741,0.642105,113,238,0.210558,ADEQUATE
progress_range,<=25,2257,647,0.171910,0.723895,0.329787,0.079897,63,357,0.186088,ADEQUATE
progress_range,25-50,1227,399,0.308068,0.772085,0.655738,0.105820,21,338,0.292584,ADEQUATE
progress_range,50-75,1620,486,0.427160,0.803714,0.811159,0.273121,44,503,0.337654,ADEQUATE
progress_range,>75,3506,907,0.621791,0.786108,0.811130,0.661927,336,737,0.306047,ADEQUATE
roads_group,Other sectors,4444,863,0.188794,0.800274,0.551724,0.400477,273,503,0.174617,ADEQUATE
roads_group,Roads & Highways,4166,1115,0.671867,0.782443,0.877407,0.488389,191,1432,0.389582,ADEQUATE
sector,Aviation & Aviation Infrastructure,148,26,0.479730,0.778489,0.775510,0.535211,11,33,0.297297,ADEQUATE
sector,Coal,687,121,0.056769,0.827002,0.750000,0.076923,1,36,0.053857,ADEQUATE
sector,Construction,6,1,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
sector,Education,178,31,0.151685,0.659308,0.193548,0.444444,50,15,0.365169,ADEQUATE
sector,Electricity Generation,180,42,0.272222,0.489329,0.307692,0.163265,18,41,0.327778,ADEQUATE
sector,Energy Storage,85,18,0.211765,0.762852,0.600000,0.500000,6,9,0.176471,INSUFFICIENT_SAMPLE
sector,Healthcare,166,37,0.168675,0.780797,0.361111,0.464286,23,15,0.228916,ADEQUATE
sector,Inland Waterways,8,2,0.125000,0.000000,0.000000,0.000000,2,1,0.375000,INSUFFICIENT_SAMPLE
sector,Logistics Infrastructure,4,1,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
sector,Metals & Mining,36,6,0.222222,0.812500,0.000000,0.000000,3,8,0.305556,INSUFFICIENT_SAMPLE
sector,Oil & Gas,494,101,0.325911,0.880421,0.946237,0.546584,5,73,0.157895,ADEQUATE
sector,Railways,1367,258,0.086320,0.698823,0.750000,0.025424,1,115,0.084857,ADEQUATE
sector,Real Estate,36,11,0.388889,0.574675,1.000000,0.071429,0,13,0.361111,INSUFFICIENT_SAMPLE
sector,Roads & Highways,4166,1115,0.671867,0.782443,0.877407,0.488389,191,1432,0.389582,ADEQUATE
sector,Shipping,35,9,0.085714,0.333333,0.000000,0.000000,2,3,0.142857,INSUFFICIENT_SAMPLE
sector,Steel,104,18,0.317308,0.733248,0.692308,0.272727,4,24,0.269231,INSUFFICIENT_SAMPLE
sector,Telecommunication,62,14,0.467742,0.749216,0.581395,0.862069,18,4,0.354839,INSUFFICIENT_SAMPLE
sector,"Tourism, Hospitality & Wellness",6,1,0.166667,0.800000,0.000000,0.000000,1,1,0.333333,INSUFFICIENT_SAMPLE
sector,Transmission & Distribution,342,68,0.336257,0.712009,0.484615,0.547826,67,52,0.347953,ADEQUATE
sector,Urban Public Transport,141,27,0.078014,0.935664,0.333333,0.181818,4,9,0.092199,INSUFFICIENT_SAMPLE
sector,Waste & Water,155,31,0.632258,0.742213,0.823529,0.571429,12,42,0.348387,ADEQUATE
sector,Water Resources,204,40,0.073529,0.621164,0.117647,0.400000,45,9,0.264706,INSUFFICIENT_SAMPLE
ministry,Department of Higher Education,172,30,0.151163,0.645943,0.180328,0.423077,50,15,0.377907,ADEQUATE
ministry,Department of Sports,6,1,0.166667,1.000000,1.000000,1.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
ministry,Department of Telecommunications,62,14,0.467742,0.749216,0.581395,0.862069,18,4,0.354839,INSUFFICIENT_SAMPLE
ministry,"Department of Water Resources, River Development & GR",252,48,0.119048,0.613363,0.117647,0.200000,45,24,0.273810,ADEQUATE
ministry,Ministry of Civil Aviation,148,26,0.479730,0.778489,0.775510,0.535211,11,33,0.297297,ADEQUATE
ministry,Ministry of Coal,722,130,0.062327,0.825012,0.230769,0.066667,10,42,0.072022,ADEQUATE
ministry,Ministry of Health & Family Welfare,101,23,0.079208,0.685484,0.181818,0.500000,18,4,0.217822,INSUFFICIENT_SAMPLE
ministry,Ministry of Housing & Urban Affairs,267,54,0.389513,0.879129,0.786667,0.567308,16,45,0.228464,ADEQUATE
ministry,Ministry of Labour and Employment,63,13,0.317460,0.855814,0.642857,0.450000,5,11,0.253968,INSUFFICIENT_SAMPLE
ministry,Ministry of Mines,36,6,0.222222,0.808036,0.000000,0.000000,3,8,0.305556,INSUFFICIENT_SAMPLE
ministry,Ministry of Petroleum & Natural Gas,579,119,0.309154,0.862765,0.898148,0.541899,11,82,0.160622,ADEQUATE
ministry,"Ministry of Ports, Shipping and Waterways",68,21,0.132353,0.412429,0.000000,0.000000,5,9,0.205882,INSUFFICIENT_SAMPLE
ministry,Ministry of Power,499,103,0.322645,0.654030,0.482993,0.440994,76,90,0.332665,ADEQUATE
ministry,Ministry of Railways,1359,258,0.084621,0.694037,0.750000,0.026087,1,112,0.083149,ADEQUATE
ministry,Ministry of Road Transport & Highways,4166,1115,0.671867,0.782443,0.877407,0.488389,191,1432,0.389582,ADEQUATE
ministry,Ministry of Steel,110,19,0.300000,0.750492,0.692308,0.272727,4,24,0.254545,INSUFFICIENT_SAMPLE
agency,705237,5,1,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,705728,5,1,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,Adani Airport Holdings Limited,6,1,0.666667,0.500000,0.600000,0.750000,2,1,0.500000,INSUFFICIENT_SAMPLE
agency,Adani Transmission Limited,12,3,0.083333,0.727273,0.000000,0.000000,0,1,0.083333,INSUFFICIENT_SAMPLE
agency,Airport Authority of India [AAI],139,25,0.467626,0.780249,0.795455,0.538462,9,30,0.280576,ADEQUATE
agency,BSNL,13,3,0.615385,0.850000,0.875000,0.875000,1,1,0.153846,INSUFFICIENT_SAMPLE
agency,Banaras Hindu University,6,1,0.166667,0.200000,0.000000,0.000000,4,1,0.833333,INSUFFICIENT_SAMPLE
agency,Bengaluru Metro Rail,12,2,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,Bharat Coking Coal Limited (BCCL,3,3,0.333333,1.000000,0.000000,0.000000,0,1,0.333333,INSUFFICIENT_SAMPLE
agency,Bharat Coking Coal Limited [BCCL],5,2,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,Bharat Petroleum Corporation Limited [BPCL],39,8,0.076923,1.000000,1.000000,0.333333,0,2,0.051282,INSUFFICIENT_SAMPLE
agency,CAO/C/II/NR,6,1,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,CAO/C/NCR,15,3,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,CAO/C/NR,7,2,0.142857,1.000000,0.000000,0.000000,0,1,0.142857,INSUFFICIENT_SAMPLE
agency,CAO/C/SECR,5,1,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,CAO/C/SER,18,4,0.055556,1.000000,0.000000,0.000000,0,1,0.055556,INSUFFICIENT_SAMPLE
agency,CCL - CIL,6,1,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,CPM/ICF,6,1,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,CSPCC Projects,6,1,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,Central Organisation for Railway Electrification [CORE],5,1,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,Central Public Works Department [CPWD],3,1,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,Central Railway,31,6,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,Central Railway (CR,1,1,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,Central Railway [CR] - II,41,8,0.121951,0.694444,0.000000,0.000000,0,5,0.121951,INSUFFICIENT_SAMPLE
agency,Central Railways,1,1,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,Central Tribal University of Andhra Pradesh,6,1,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,Central University of Gujarat,6,1,0.000000,,0.000000,0.000000,4,0,0.666667,INSUFFICIENT_SAMPLE
agency,Central University of Punjab,6,1,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,CentralRailway,11,2,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,Chennai Metro Rail Limited [CMRL],3,1,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,Chennai Petroleum Corporation Limited [CPCL],9,2,0.111111,1.000000,0.000000,0.000000,0,1,0.111111,INSUFFICIENT_SAMPLE
agency,Construction NER,6,1,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,Damodar Valley Corporation,18,5,0.333333,0.583333,0.600000,0.500000,2,3,0.277778,INSUFFICIENT_SAMPLE
agency,Deendayal Port Trust,6,1,0.500000,0.444444,0.000000,0.000000,0,3,0.500000,INSUFFICIENT_SAMPLE
agency,Deendayal Port Trust [DPT],7,2,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,Delhi Metro Rail Corporation Limited [DMRC],22,4,0.136364,1.000000,0.000000,0.000000,0,3,0.136364,INSUFFICIENT_SAMPLE
agency,Delhi University,6,1,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,Department of Sports & Youth Affairs,6,1,0.166667,1.000000,1.000000,1.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,Department of Telecommunications,9,2,0.666667,0.777778,0.750000,1.000000,2,0,0.222222,INSUFFICIENT_SAMPLE
agency,Department of Telecommunications [DoT],28,7,0.357143,0.588889,0.450000,0.900000,11,1,0.428571,INSUFFICIENT_SAMPLE
agency,"Department of Water Resources, River Development & GR",32,6,0.093750,0.586207,0.200000,0.333333,4,2,0.187500,INSUFFICIENT_SAMPLE
agency,Department of Water Resources-JH,6,1,0.000000,,0.000000,0.000000,2,0,0.333333,INSUFFICIENT_SAMPLE
agency,Department of Water Resources-MH,6,1,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,Department of Water Resources-PB,12,2,0.250000,0.851852,0.666667,0.666667,1,1,0.166667,INSUFFICIENT_SAMPLE
agency,Department of water resources-MH - II,45,10,0.022222,0.409091,0.000000,0.000000,8,1,0.200000,INSUFFICIENT_SAMPLE
agency,ECL - CIL,9,2,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,East Central Railway [ECR] - I,112,20,0.089286,0.644118,1.000000,0.100000,0,9,0.080357,INSUFFICIENT_SAMPLE
agency,East Coast Railway [ECoR] - II,121,21,0.148760,0.783172,0.000000,0.000000,0,18,0.148760,INSUFFICIENT_SAMPLE
agency,Eastern Coal Fields Limited [ECL],72,12,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,Eastern Railway [ER] - I,24,4,0.125000,0.460317,0.000000,0.000000,0,3,0.125000,INSUFFICIENT_SAMPLE
agency,Employee's State Insurance Company [ESIC],63,13,0.317460,0.855814,0.642857,0.450000,5,11,0.253968,INSUFFICIENT_SAMPLE
agency,GAIL Gas,4,2,0.500000,0.250000,0.000000,0.000000,0,2,0.500000,INSUFFICIENT_SAMPLE
agency,GM/C/ NFR,10,2,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,Gas Authority of India Limited [GAIL],6,1,0.000000,,0.000000,0.000000,1,0,0.166667,INSUFFICIENT_SAMPLE
agency,Gujarat Metro Rail Corporation Limited [GMRCL],10,3,0.500000,0.840000,0.666667,0.400000,1,3,0.400000,INSUFFICIENT_SAMPLE
agency,Gurugram Metro Rail Limited [GMRL],3,1,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,"Haldia Dock Complex, Syama Prasad Mookerjee Port Authority",3,2,0.000000,,0.000000,0.000000,1,0,0.333333,INSUFFICIENT_SAMPLE
agency,Hindustan Copper Limited [HCL],6,1,0.500000,1.000000,0.000000,0.000000,0,3,0.500000,INSUFFICIENT_SAMPLE
agency,Hindustan Petroleum Corporation Limited,28,6,0.321429,0.976608,1.000000,0.777778,0,2,0.071429,INSUFFICIENT_SAMPLE
agency,Hindustan Petroleum Corporation Limited [HPCL],18,3,0.166667,1.000000,1.000000,1.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,INDIAN INSTITUTE OF TECHNOLOGY PALAKKAD,12,2,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,IOCL,3,1,0.333333,0.000000,0.000000,0.000000,0,1,0.333333,INSUFFICIENT_SAMPLE
agency,"Indian Institute of Management, Jammu",3,1,0.000000,,0.000000,0.000000,1,0,0.333333,INSUFFICIENT_SAMPLE
agency,"Indian Institute of Management, Sirmaur",6,1,1.000000,,1.000000,0.500000,0,3,0.500000,INSUFFICIENT_SAMPLE
agency,"Indian Institute of Technology, Bhilai",6,1,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,"Indian Institute of Technology, Bhubaneshwar",1,1,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,"Indian Institute of Technology, Hyderabad",6,1,0.000000,,0.000000,0.000000,3,0,0.500000,INSUFFICIENT_SAMPLE
agency,"Indian Institute of Technology, Kharagpur",3,1,0.333333,0.500000,0.333333,1.000000,2,0,0.666667,INSUFFICIENT_SAMPLE
agency,"Indian Institute of Technology, Mandi",6,1,0.666667,1.000000,1.000000,0.750000,0,1,0.166667,INSUFFICIENT_SAMPLE
agency,"Indian Institutes of Science Education and Research, Behrampur",6,1,0.500000,1.000000,1.000000,0.333333,0,2,0.333333,INSUFFICIENT_SAMPLE
agency,Indian Oil Corporation Limited (IOCL,2,1,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,Indian Oil Corporation Limited [IOCL],19,5,0.473684,0.577778,0.800000,0.444444,1,5,0.315789,INSUFFICIENT_SAMPLE
agency,Indian Port Rail & Ropeway Corporation Ltd. [IPRCL],6,1,0.166667,0.800000,0.000000,0.000000,1,1,0.333333,INSUFFICIENT_SAMPLE
agency,Indian Railway,5,2,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,Indian Railway Construction International Limited [IRCON],41,7,0.219512,0.854167,0.000000,0.000000,0,9,0.219512,INSUFFICIENT_SAMPLE
agency,"Indian intitue of Management, Amritsar",3,1,1.000000,,0.000000,0.000000,0,3,1.000000,INSUFFICIENT_SAMPLE
agency,Inland Waterways Authority of India [IWAI],8,2,0.125000,0.000000,0.000000,0.000000,2,1,0.375000,INSUFFICIENT_SAMPLE
agency,Irrigation & Water Resources-UP,9,2,0.000000,,0.000000,0.000000,2,0,0.222222,INSUFFICIENT_SAMPLE
agency,Irrigation and CAD-TG,26,5,0.000000,,0.000000,0.000000,8,0,0.307692,INSUFFICIENT_SAMPLE
agency,Irrigation-UK,6,1,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,Karnataka Rail Infrastructure Development Company Limited [K-RIDE],14,3,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,M/S SRC company Infra Private Limited,6,1,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,MCL - CIL,27,5,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,MIS MoCoal Integration Logins,12,2,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,MRIDC,5,1,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,Madhya Pradesh Metro Rail Co Limited [MPMRCL],12,2,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,Mahanadi Coalfields Limited (MCL,2,1,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,Mahanadi Coalfields Limited [MCL],34,6,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,Maharashtra Metro Rail Corporation Limited [MMRCL],35,6,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,Mangalore Refinary and Petrochemicals Limited,6,1,0.500000,1.000000,1.000000,0.666667,0,1,0.166667,INSUFFICIENT_SAMPLE
agency,"Medical Education, Ministry of Health and Family Welfare",60,15,0.000000,,0.000000,0.000000,15,0,0.250000,INSUFFICIENT_SAMPLE
agency,"Metro Railway, Kolkata",5,1,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,Ministry of Coal,135,24,0.088889,0.972222,1.000000,0.250000,0,9,0.066667,INSUFFICIENT_SAMPLE
agency,Ministry of Housing & Urban Affairs,102,21,0.813725,0.444515,0.823529,0.674699,12,27,0.382353,INSUFFICIENT_SAMPLE
agency,Ministry of Petroleum & Natural Gas,210,48,0.352381,0.853041,0.863636,0.513514,6,36,0.200000,ADEQUATE
agency,Ministry of Petroleum and Natural Gas,15,3,0.066667,0.142857,0.000000,0.000000,0,1,0.066667,INSUFFICIENT_SAMPLE
agency,Ministry of Railways,41,8,0.048780,0.628205,0.000000,0.000000,1,2,0.073171,INSUFFICIENT_SAMPLE
agency,Ministry of Railways-,1,1,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,MinistryofPetroleumNaturalGas,109,24,0.137615,0.735461,0.800000,0.266667,1,11,0.110092,INSUFFICIENT_SAMPLE
agency,MoRTH,1306,361,0.581930,0.758254,0.783972,0.296053,62,535,0.457121,ADEQUATE
