feature_name,mean_importance,sd_importance,min_importance,max_importance,folds
effective_target_months_from_cutoff,0.27121121,0.03068747,0.21967643,0.30428207,6
sector,0.12345399,0.04318119,0.07890714,0.19023284,6
agency,0.09209344,0.00832929,0.08140014,0.10694746,6
ministry,0.09132426,0.03202101,0.06280460,0.14525524,6
progress_current,0.06008378,0.00967700,0.04392776,0.07573511,6
expenditure_to_revised_cost,0.04439759,0.01009096,0.02767731,0.05716527,6
expenditure_to_original_cost,0.04403892,0.00876990,0.02939638,0.05714350,6
project_age_months,0.03632315,0.00572917,0.02536812,0.04380772,6
expenditure_current,0.03439991,0.00522116,0.02309166,0.03873347,6
state,0.03182308,0.00839716,0.01902564,0.04709800,6
revised_cost_current,0.02621403,0.00466563,0.01767410,0.02988348,6
original_cost_current,0.02591601,0.00314075,0.01948076,0.02986280,6
expenditure_change_1m,0.02427177,0.01153617,0.00000000,0.03326789,6
cost_revision_pct_current,0.02041302,0.00663223,0.01581840,0.03457232,6
progress_change_1m,0.01255727,0.00657722,0.00000000,0.02225592,6
months_since_first_observation,0.00918856,0.00737467,0.00000000,0.02370242,6
months_observed,0.00895289,0.00684648,0.00000000,0.02214465,6
progress_acceleration_3m,0.00709995,0.00517223,0.00000000,0.01294849,6
months_since_schedule_revision,0.00577295,0.00298452,0.00000000,0.00974479,6
expenditure_change_3m,0.00572290,0.00606677,0.00000000,0.01410133,6
expenditure_velocity_3m,0.00560401,0.00593801,0.00000000,0.01404812,6
months_since_material_progress_change,0.00443539,0.00210889,0.00000000,0.00644688,6
schedule_revision_count_to_date,0.00424569,0.00277247,0.00000000,0.00930664,6
progress_velocity_3m,0.00422113,0.00458477,0.00000000,0.01153681,6
progress_change_3m,0.00418242,0.00442063,0.00000000,0.01056998,6
months_since_cost_revision,0.00098981,0.00066002,0.00000000,0.00197512,6
revised_cost_missing,0.00053522,0.00041122,0.00000000,0.00112192,6
cost_revision_count_to_date,0.00052762,0.00029170,0.00000000,0.00079989,6
progress_missing,0.00000000,0.00000000,0.00000000,0.00000000,6
