month,observations,projects,label_eligible,positive_count,event_rate,unknown_observations
2025-04,1670,1670,0,0,,1670
2025-05,1637,1637,0,0,,1637
2025-06,1595,1595,0,0,,1595
2025-07,791,746,439,86,0.195900,352
2025-08,800,751,622,110,0.176849,178
2025-09,794,782,704,127,0.180398,90
2025-10,820,808,736,131,0.177989,84
2025-11,823,811,731,106,0.145007,92
2025-12,1392,1315,1243,565,0.454545,149
2026-01,1702,1565,1453,660,0.454233,249
2026-02,1948,1922,1815,925,0.509642,133
2026-03,1941,1915,1701,717,0.421517,240
2026-04,1981,1968,1667,665,0.398920,314
2026-05,1987,1976,0,0,,1987
2026-06,1847,1836,0,0,,1847
2026-07,1775,1764,0,0,,1775
