variant,fold,training_period_start,training_period_end,evaluation_period,endpoint_mature_before_evaluation,train_rows,evaluation_rows,evaluation_projects,positive_rows,event_rate,roc_auc,pr_auc,pr_auc_lift_over_prevalence,brier,mean_prediction,precision_at_40,recall_at_40,f1_at_40,false_positive_rate_at_40,tn_at_40,fp_at_40,fn_at_40,tp_at_40,precision_at_50,recall_at_50,f1_at_50,false_positive_rate_at_50,tn_at_50,fp_at_50,fn_at_50,tp_at_50
FULL_EXISTING_BASELINE,1,2025-07,2025-07,2025-11,True,439,731,731,106,0.145007,0.778113,0.309756,2.136145,0.115809,0.214724,0.210000,0.198113,0.203883,0.126400,546,79,85,21,0.291667,0.066038,0.107692,0.027200,608,17,99,7
WITHOUT_PRIOR_DRIFT_FLAGS,1,2025-07,2025-07,2025-11,True,439,731,731,106,0.145007,0.837857,0.363584,2.507360,0.105803,0.219348,0.355556,0.301887,0.326531,0.092800,567,58,74,32,0.250000,0.018868,0.035088,0.009600,619,6,104,2
STABLE_FOUR_FEATURES,1,2025-07,2025-07,2025-11,True,439,731,731,106,0.145007,0.648317,0.208946,1.440940,0.131912,0.172440,0.213115,0.122642,0.155689,0.076800,577,48,93,13,0.157895,0.056604,0.083333,0.051200,593,32,100,6
FULL_EXISTING_BASELINE,2,2025-07,2025-08,2025-12,True,1061,1243,1243,565,0.454545,0.849554,0.755563,1.662238,0.200992,0.297173,0.771635,0.568142,0.654434,0.140118,583,95,244,321,0.700000,0.111504,0.192366,0.039823,651,27,502,63
WITHOUT_PRIOR_DRIFT_FLAGS,2,2025-07,2025-08,2025-12,True,1061,1243,1243,565,0.454545,0.846619,0.759820,1.671603,0.195966,0.313132,0.772901,0.716814,0.743802,0.175516,559,119,160,405,0.796748,0.173451,0.284884,0.036873,653,25,467,98
STABLE_FOUR_FEATURES,2,2025-07,2025-08,2025-12,True,1061,1243,1243,565,0.454545,0.625696,0.568899,1.251577,0.306075,0.198742,0.645390,0.161062,0.257790,0.073746,628,50,474,91,0.714286,0.097345,0.171340,0.032448,656,22,510,55
FULL_EXISTING_BASELINE,3,2025-07,2025-09,2026-01,True,1765,1453,1453,660,0.454233,0.870650,0.810729,1.784832,0.210867,0.257916,0.844380,0.443939,0.581927,0.068096,739,54,367,293,0.861538,0.084848,0.154483,0.011349,784,9,604,56
WITHOUT_PRIOR_DRIFT_FLAGS,3,2025-07,2025-09,2026-01,True,1765,1453,1453,660,0.454233,0.854234,0.781939,1.721450,0.210351,0.267203,0.804071,0.478788,0.600190,0.097100,716,77,344,316,0.865546,0.156061,0.264442,0.020177,777,16,557,103
STABLE_FOUR_FEATURES,3,2025-07,2025-09,2026-01,True,1765,1453,1453,660,0.454233,0.695061,0.636212,1.400629,0.281657,0.209400,0.708155,0.250000,0.369541,0.085750,725,68,495,165,0.718182,0.119697,0.205195,0.039092,762,31,581,79
FULL_EXISTING_BASELINE,4,2025-07,2025-10,2026-02,True,2501,1815,1815,925,0.509642,0.850208,0.826288,1.621311,0.244467,0.250996,0.858491,0.393514,0.539659,0.067416,830,60,561,364,0.865385,0.097297,0.174927,0.015730,876,14,835,90
WITHOUT_PRIOR_DRIFT_FLAGS,4,2025-07,2025-10,2026-02,True,2501,1815,1815,925,0.509642,0.844335,0.823930,1.616684,0.232398,0.272100,0.851986,0.510270,0.638269,0.092135,808,82,453,472,0.885714,0.167568,0.281818,0.022472,870,20,770,155
STABLE_FOUR_FEATURES,4,2025-07,2025-10,2026-02,True,2501,1815,1815,925,0.509642,0.690725,0.676704,1.327803,0.316744,0.208932,0.759878,0.270270,0.398724,0.088764,811,79,675,250,0.727273,0.129730,0.220183,0.050562,845,45,805,120
FULL_EXISTING_BASELINE,5,2025-07,2025-11,2026-03,True,3232,1701,1701,717,0.421517,0.811567,0.742160,1.760689,0.225945,0.216281,0.814706,0.386332,0.524125,0.064024,921,63,440,277,0.852632,0.112971,0.199507,0.014228,970,14,636,81
WITHOUT_PRIOR_DRIFT_FLAGS,5,2025-07,2025-11,2026-03,True,3232,1701,1701,717,0.421517,0.819135,0.748975,1.776856,0.214087,0.237189,0.790094,0.467225,0.587204,0.090447,895,89,382,335,0.834254,0.210600,0.336303,0.030488,954,30,566,151
STABLE_FOUR_FEATURES,5,2025-07,2025-11,2026-03,True,3232,1701,1701,717,0.421517,0.688607,0.597591,1.417717,0.269407,0.204442,0.662420,0.290098,0.403492,0.107724,878,106,509,208,0.647059,0.138075,0.227586,0.054878,930,54,618,99
FULL_EXISTING_BASELINE,6,2025-07,2025-12,2026-04,True,4475,1667,1667,665,0.398920,0.841256,0.778319,1.951064,0.175716,0.323659,0.790741,0.642105,0.708714,0.112774,889,113,238,427,0.837398,0.464662,0.597679,0.059880,942,60,356,309
WITHOUT_PRIOR_DRIFT_FLAGS,6,2025-07,2025-12,2026-04,True,4475,1667,1667,665,0.398920,0.820442,0.773997,1.940230,0.204713,0.230635,0.816438,0.448120,0.578641,0.066866,935,67,367,298,0.932836,0.187970,0.312891,0.008982,993,9,540,125
STABLE_FOUR_FEATURES,6,2025-07,2025-12,2026-04,True,4475,1667,1667,665,0.398920,0.745091,0.650996,1.631894,0.200327,0.365040,0.627260,0.678195,0.651734,0.267465,734,268,214,451,0.665529,0.586466,0.623501,0.195609,806,196,275,390
