model,fold,evaluation_period,event_rate,precision_at_40,recall_at_40,f1_at_40,precision_at_50,recall_at_50,f1_at_50
BASELINE_RANDOM_FOREST,1,2025-11,0.14500684,0.21000000,0.19811321,0.20388350,0.29166667,0.06603774,0.10769231
XGBOOST,1,2025-11,0.14500684,0.32380952,0.64150943,0.43037975,0.34705882,0.55660377,0.42753623
BASELINE_RANDOM_FOREST,2,2025-12,0.45454545,0.77163462,0.56814159,0.65443425,0.70000000,0.11150442,0.19236641
XGBOOST,2,2025-12,0.45454545,0.74024024,0.87256637,0.80097482,0.74916388,0.79292035,0.77042132
BASELINE_RANDOM_FOREST,3,2026-01,0.45423262,0.84438040,0.44393939,0.58192651,0.86153846,0.08484848,0.15448276
XGBOOST,3,2026-01,0.45423262,0.77557252,0.76969697,0.77262357,0.80399274,0.67121212,0.73162675
BASELINE_RANDOM_FOREST,4,2026-02,0.50964187,0.85849057,0.39351351,0.53965901,0.86538462,0.09729730,0.17492711
XGBOOST,4,2026-02,0.50964187,0.79005525,0.61837838,0.69375379,0.80333333,0.52108108,0.63213115
BASELINE_RANDOM_FOREST,5,2026-03,0.42151675,0.81470588,0.38633194,0.52412488,0.85263158,0.11297071,0.19950739
XGBOOST,5,2026-03,0.42151675,0.79211470,0.61645746,0.69333333,0.82004090,0.55927476,0.66500829
BASELINE_RANDOM_FOREST,6,2026-04,0.39892022,0.79074074,0.64210526,0.70871369,0.83739837,0.46466165,0.59767892
XGBOOST,6,2026-04,0.39892022,0.79365079,0.67669173,0.73051948,0.85360825,0.62255639,0.72000000
