feature_name,mean_gain_importance,sd_gain_importance,min_gain_importance,max_gain_importance,folds,stable_feature,prior_drift_flag
sector,0.25070490,0.06184697,0.16892456,0.36519790,6,False,True
ministry,0.22006169,0.03155569,0.18617341,0.28227854,6,False,True
effective_target_months_from_cutoff,0.10873015,0.03917901,0.07566264,0.18884267,6,False,False
agency,0.08120524,0.03803438,0.00000000,0.11751127,6,False,True
state,0.05580551,0.03386207,0.00000000,0.09193269,6,False,False
progress_current,0.02416238,0.00625882,0.01400689,0.03315610,6,True,False
project_age_months,0.01938274,0.00745539,0.00968325,0.03132599,6,False,False
progress_change_1m,0.01815929,0.00961092,0.00000000,0.03058231,6,False,False
revised_cost_current,0.01775373,0.00695365,0.00804412,0.02707401,6,False,False
expenditure_change_1m,0.01747092,0.01095348,0.00000000,0.03511875,6,False,False
expenditure_to_revised_cost,0.01742523,0.00649289,0.00821671,0.02565384,6,False,False
expenditure_current,0.01732028,0.00684207,0.00691416,0.02820816,6,True,False
original_cost_current,0.01708844,0.00635343,0.00783051,0.02651380,6,True,False
expenditure_to_original_cost,0.01708584,0.00690875,0.00715572,0.02788880,6,True,False
progress_acceleration_3m,0.01679205,0.01697407,0.00000000,0.04823787,6,False,False
months_since_material_progress_change,0.01613699,0.00974048,0.00000000,0.02833394,6,False,False
cost_revision_pct_current,0.01561891,0.00744974,0.00640321,0.02626644,6,False,False
months_observed,0.01418923,0.00701938,0.00000000,0.02206873,6,False,True
months_since_first_observation,0.01227864,0.00907007,0.00000000,0.02208279,6,False,True
schedule_revision_count_to_date,0.00818676,0.00685381,0.00000000,0.01758171,6,False,True
expenditure_velocity_3m,0.00670886,0.00745303,0.00000000,0.01852617,6,False,False
progress_change_3m,0.00664628,0.00687822,0.00000000,0.01656735,6,False,False
months_since_schedule_revision,0.00578600,0.00667451,0.00000000,0.01814181,6,False,False
progress_velocity_3m,0.00575474,0.00726171,0.00000000,0.02028515,6,False,False
expenditure_change_3m,0.00528270,0.00586526,0.00000000,0.01546244,6,False,False
months_since_cost_revision,0.00229739,0.00513712,0.00000000,0.01378434,6,False,True
cost_revision_count_to_date,0.00099966,0.00223531,0.00000000,0.00599796,6,False,False
revised_cost_missing,0.00096545,0.00215880,0.00000000,0.00579267,6,False,False
progress_missing,0.00000000,0.00000000,0.00000000,0.00000000,6,False,False
