slice_feature,slice_value,observations,projects,events,event_rate,sample_status,baseline_roc_auc,xgb_roc_auc,baseline_pr_auc,xgb_pr_auc,baseline_precision_at_40,xgb_precision_at_40,baseline_recall_at_40,xgb_recall_at_40,baseline_f1_at_40,xgb_f1_at_40,baseline_precision_at_50,xgb_precision_at_50,baseline_recall_at_50,xgb_recall_at_50,baseline_f1_at_50,xgb_f1_at_50,baseline_tn_at_40,xgb_tn_at_40,baseline_fp_at_40,xgb_fp_at_40,baseline_fn_at_40,xgb_fn_at_40,baseline_tp_at_40,xgb_tp_at_40,baseline_tn_at_50,xgb_tn_at_50,baseline_fp_at_50,xgb_fp_at_50,baseline_fn_at_50,xgb_fn_at_50,baseline_tp_at_50,xgb_tp_at_50,delta_roc_auc,delta_pr_auc,pr_direction
age_range,3-7y,2915,718,1530,0.52487136,ADEQUATE,0.86235318,0.83969987,0.84597024,0.79916334,0.83544304,0.78481848,0.60392157,0.77712418,0.70106222,0.78095238,0.87967914,0.80045524,0.21503268,0.68954248,0.34558824,0.74087079,1203,1059,182,326,606,341,924,1189,1340,1122,45,263,1201,475,329,1055,-0.02265331,-0.04680691,BASELINE
age_range,7-12y,1206,279,478,0.39635158,ADEQUATE,0.81360063,0.77236884,0.67831622,0.64658213,0.73359073,0.59751037,0.39748954,0.60251046,0.51560380,0.60000000,0.71084337,0.62500000,0.12343096,0.47071130,0.21033868,0.53699284,659,534,69,194,288,190,190,288,704,593,24,135,419,253,59,225,-0.04123178,-0.03173409,BASELINE
age_range,<=3y,3997,1033,1559,0.39004253,ADEQUATE,0.80681859,0.86460737,0.70229111,0.79882410,0.77123288,0.81005587,0.36112893,0.65105837,0.49191787,0.72190612,0.77037037,0.83602151,0.13341886,0.59846055,0.22744669,0.69757009,2271,2200,167,238,996,544,563,1015,2376,2255,62,183,1351,626,208,933,0.05778877,0.09653299,XGBOOST
age_range,>12y,492,100,71,0.14430894,ADEQUATE,0.70375698,0.73299655,0.32694619,0.33605988,0.36111111,0.31538462,0.36619718,0.57746479,0.36363636,0.40796020,0.50000000,0.34343434,0.14084507,0.47887324,0.21978022,0.40000000,375,332,46,89,45,30,26,41,411,356,10,65,61,37,10,34,0.02923957,0.00911369,XGBOOST
agency,Airport Authority of India [AAI],139,25,65,0.46762590,ADEQUATE,0.78024948,0.86237006,0.78437181,0.87238018,0.79545455,0.84615385,0.53846154,0.67692308,0.64220183,0.75213675,0.89655172,0.91489362,0.40000000,0.66153846,0.55319149,0.76785714,65,66,9,8,30,21,35,44,71,70,3,4,39,22,26,43,0.08212058,0.08800837,XGBOOST
agency,Ministry of Petroleum & Natural Gas,210,48,74,0.35238095,ADEQUATE,0.85304054,0.86893879,0.75639214,0.84717069,0.86363636,0.88135593,0.51351351,0.70270270,0.64406780,0.78195489,0.80952381,0.86792453,0.22972973,0.62162162,0.35789474,0.72440945,130,129,6,7,36,22,38,52,132,129,4,7,57,28,17,46,0.01589825,0.09077855,XGBOOST
agency,MoRTH,1306,361,760,0.58192956,ADEQUATE,0.75825381,0.84760218,0.75533888,0.85378995,0.78397213,0.84053156,0.29605263,0.66578947,0.42979943,0.74302496,0.69879518,0.84800000,0.07631579,0.55789474,0.13760380,0.67301587,484,450,62,96,535,254,225,506,521,470,25,76,702,336,58,424,0.08934837,0.09845107,XGBOOST
agency,NHAI,73,26,49,0.67123288,ADEQUATE,0.84438776,0.89795918,0.92117971,0.94899252,0.91176471,0.92307692,0.63265306,0.73469388,0.74698795,0.81818182,1.00000000,0.94736842,0.26530612,0.73469388,0.41935484,0.82758621,21,21,3,3,18,13,31,36,24,22,0,2,36,13,13,36,0.05357143,0.02781281,XGBOOST
agency,NHIDCL,649,174,353,0.54391371,ADEQUATE,0.76742305,0.79336383,0.74311000,0.76376999,0.75263158,0.76946108,0.40509915,0.72804533,0.52670350,0.74818049,0.73015873,0.77966102,0.13031161,0.65155807,0.22115385,0.70987654,249,219,47,77,210,96,143,257,279,231,17,65,307,123,46,230,0.02594078,0.02065998,XGBOOST
agency,National Highways Authority of India [NHAI],2074,555,1589,0.76615236,ADEQUATE,0.78838146,0.85844952,0.90813351,0.93561811,0.92406312,0.94531250,0.58967904,0.76148521,0.71993853,0.84349948,0.92792793,0.94880546,0.19446193,0.69981120,0.32154006,0.80550525,408,415,77,70,652,379,937,1210,461,425,24,60,1280,477,309,1112,0.07006806,0.02748460,XGBOOST
agency,Power Grid Corporation of India Limited [POWERGRID],309,64,106,0.34304207,ADEQUATE,0.70819779,0.81080955,0.63765770,0.71902035,0.47619048,0.64077670,0.56603774,0.62264151,0.51724138,0.63157895,0.69230769,0.70238095,0.42452830,0.55660377,0.52631579,0.62105263,137,166,66,37,46,40,60,66,183,178,20,25,61,47,45,59,0.10261177,0.08136265,XGBOOST
agency,nan,132,52,66,0.50000000,ADEQUATE,0.65564738,0.76974288,0.65847924,0.75897781,0.64814815,0.68852459,0.53030303,0.63636364,0.58333333,0.66141732,0.56521739,0.75000000,0.19696970,0.54545455,0.29213483,0.63157895,47,47,19,19,31,24,35,42,56,54,10,12,53,30,13,36,0.11409550,0.10049857,XGBOOST
cost_ratio_range,.25-.50,1750,508,906,0.51771429,ADEQUATE,0.84007616,0.84671699,0.80984195,0.83139049,0.84380952,0.80416157,0.48896247,0.72516556,0.61914745,0.76262333,0.84920635,0.83100559,0.11810155,0.65673289,0.20736434,0.73366215,762,684,82,160,463,249,443,657,825,723,19,121,799,311,107,595,0.00664083,0.02154854,XGBOOST
cost_ratio_range,.50-.75,1529,438,898,0.58731197,ADEQUATE,0.88745195,0.87527487,0.89103266,0.88884208,0.89267016,0.84411085,0.75946548,0.81403118,0.82069795,0.82879819,0.91103203,0.86578947,0.28507795,0.73273942,0.43426633,0.79372738,549,496,82,135,216,167,682,731,606,529,25,102,642,240,256,658,-0.01217709,-0.00219057,NEGLIGIBLE
cost_ratio_range,.75-1,1003,255,431,0.42971087,ADEQUATE,0.84438531,0.81294112,0.77201238,0.72765056,0.74576271,0.65983607,0.71461717,0.74709977,0.72985782,0.70076170,0.80295567,0.69926650,0.37819026,0.66357309,0.51419558,0.68095238,467,406,105,166,123,109,308,322,532,449,40,123,268,145,163,286,-0.03144419,-0.04436183,BASELINE
cost_ratio_range,<=.25,3602,983,1247,0.34619656,ADEQUATE,0.80283296,0.85878703,0.62046192,0.73699716,0.63050847,0.77234043,0.14915798,0.58219727,0.24124514,0.66392318,0.57142857,0.77626700,0.03849238,0.50360866,0.07212622,0.61089494,2246,2141,109,214,1061,521,186,726,2319,2174,36,181,1199,619,48,628,0.05595408,0.11653524,XGBOOST
cost_ratio_range,>1,726,163,156,0.21487603,ADEQUATE,0.74967386,0.72360549,0.49967421,0.41238670,0.49411765,0.36059480,0.53846154,0.62179487,0.51533742,0.45647059,0.60377358,0.40201005,0.20512821,0.51282051,0.30622010,0.45070423,484,398,86,172,72,59,84,97,549,451,21,119,124,76,32,80,-0.02606838,-0.08728751,BASELINE
ministry,Department of Higher Education,172,30,26,0.15116279,ADEQUATE,0.64594310,0.62460485,0.19419084,0.18724947,0.18032787,0.20833333,0.42307692,0.57692308,0.25287356,0.30612245,0.07142857,0.19607843,0.03846154,0.38461538,0.05000000,0.25974026,96,89,50,57,15,11,11,15,133,105,13,41,25,16,1,10,-0.02133825,-0.00694137,BASELINE
ministry,"Department of Water Resources, River Development & GR",252,48,30,0.11904762,ADEQUATE,0.61336336,0.64804805,0.14229737,0.15627323,0.11764706,0.17475728,0.20000000,0.60000000,0.14814815,0.27067669,0.00000000,0.17977528,0.00000000,0.53333333,0.00000000,0.26890756,177,137,45,85,24,12,6,18,212,149,10,73,30,14,0,16,0.03468468,0.01397585,XGBOOST
ministry,Ministry of Civil Aviation,148,26,71,0.47972973,ADEQUATE,0.77848912,0.85677703,0.78194833,0.86813457,0.77551020,0.82758621,0.53521127,0.67605634,0.63333333,0.74418605,0.87096774,0.90196078,0.38028169,0.64788732,0.52941176,0.75409836,66,67,11,10,33,23,38,48,73,72,4,5,44,25,27,46,0.07828791,0.08618624,XGBOOST
ministry,Ministry of Coal,722,130,45,0.06232687,ADEQUATE,0.82501231,0.83715739,0.18991526,0.17961456,0.23076923,0.21600000,0.06666667,0.60000000,0.10344828,0.31764706,0.00000000,0.19047619,0.00000000,0.44444444,0.00000000,0.26666667,667,579,10,98,42,18,3,27,673,592,4,85,45,25,0,20,0.01214508,-0.01030070,BASELINE
ministry,Ministry of Housing & Urban Affairs,267,54,104,0.38951311,ADEQUATE,0.87912931,0.80486078,0.71218984,0.57935815,0.78666667,0.64583333,0.56730769,0.59615385,0.65921788,0.62000000,0.70967742,0.56000000,0.21153846,0.40384615,0.32592593,0.46927374,147,129,16,34,45,42,59,62,154,130,9,33,82,62,22,42,-0.07426852,-0.13283169,BASELINE
ministry,Ministry of Petroleum & Natural Gas,579,119,179,0.30915371,ADEQUATE,0.86276536,0.85034916,0.78170983,0.81624485,0.89814815,0.83561644,0.54189944,0.68156425,0.67595819,0.75076923,0.91071429,0.86363636,0.28491620,0.63687151,0.43404255,0.73311897,389,376,11,24,82,57,97,122,395,382,5,18,128,65,51,114,-0.01241620,0.03453503,XGBOOST
ministry,Ministry of Power,499,103,161,0.32264529,ADEQUATE,0.65402992,0.70789077,0.55892838,0.58305853,0.48299320,0.55862069,0.44099379,0.50310559,0.46103896,0.52941176,0.67605634,0.62280702,0.29813665,0.44099379,0.41379310,0.51636364,262,274,76,64,90,80,71,81,315,295,23,43,113,90,48,71,0.05386085,0.02413015,XGBOOST
ministry,Ministry of Railways,1359,258,115,0.08462104,ADEQUATE,0.69403747,0.74979030,0.24869721,0.20671519,0.75000000,0.22513089,0.02608696,0.37391304,0.05042017,0.28104575,0.00000000,0.27272727,0.00000000,0.26086957,0.00000000,0.26666667,1243,1096,1,148,112,72,3,43,1244,1164,0,80,115,85,0,30,0.05575283,-0.04198202,BASELINE
ministry,Ministry of Road Transport & Highways,4166,1115,2799,0.67186750,ADEQUATE,0.78244255,0.84377872,0.85468744,0.89348971,0.87740693,0.89184474,0.48838871,0.73061808,0.62749598,0.80322074,0.86732673,0.89995096,0.15648446,0.65559128,0.26513317,0.75857792,1176,1119,191,248,1432,754,1367,2045,1300,1163,67,204,2361,964,438,1835,0.06133618,0.03880226,XGBOOST
prediction_month,2025-11,731,731,106,0.14500684,ADEQUATE,0.77811321,0.81903396,0.30975561,0.40098188,0.21000000,0.32380952,0.19811321,0.64150943,0.20388350,0.43037975,0.29166667,0.34705882,0.06603774,0.55660377,0.10769231,0.42753623,546,483,79,142,85,38,21,68,608,514,17,111,99,47,7,59,0.04092075,0.09122627,XGBOOST
prediction_month,2025-12,1243,1243,565,0.45454545,ADEQUATE,0.84955361,0.86118203,0.75556279,0.78842014,0.77163462,0.74024024,0.56814159,0.87256637,0.65443425,0.80097482,0.70000000,0.74916388,0.11150442,0.79292035,0.19236641,0.77042132,583,505,95,173,244,72,321,493,651,528,27,150,502,117,63,448,0.01162842,0.03285736,XGBOOST
prediction_month,2026-01,1453,1453,660,0.45423262,ADEQUATE,0.87065039,0.87047652,0.81072908,0.81758123,0.84438040,0.77557252,0.44393939,0.76969697,0.58192651,0.77262357,0.86153846,0.80399274,0.08484848,0.67121212,0.15448276,0.73162675,739,646,54,147,367,152,293,508,784,685,9,108,604,217,56,443,-0.00017387,0.00685214,XGBOOST
prediction_month,2026-02,1815,1815,925,0.50964187,ADEQUATE,0.85020832,0.83939144,0.82628785,0.81420254,0.85849057,0.79005525,0.39351351,0.61837838,0.53965901,0.69375379,0.86538462,0.80333333,0.09729730,0.52108108,0.17492711,0.63213115,830,738,60,152,561,353,364,572,876,772,14,118,835,443,90,482,-0.01081688,-0.01208532,BASELINE
prediction_month,2026-03,1701,1701,717,0.42151675,ADEQUATE,0.81156666,0.84111190,0.74216010,0.79317176,0.81470588,0.79211470,0.38633194,0.61645746,0.52412488,0.69333333,0.85263158,0.82004090,0.11297071,0.55927476,0.19950739,0.66500829,921,868,63,116,440,275,277,442,970,896,14,88,636,316,81,401,0.02954525,0.05101167,XGBOOST
prediction_month,2026-04,1667,1667,665,0.39892022,ADEQUATE,0.84125583,0.86045503,0.77831892,0.81354079,0.79074074,0.79365079,0.64210526,0.67669173,0.70871369,0.73051948,0.83739837,0.85360825,0.46466165,0.62255639,0.59767892,0.72000000,889,885,113,117,238,215,427,450,942,931,60,71,356,251,309,414,0.01919920,0.03522187,XGBOOST
progress_range,25-50,1227,399,378,0.30806846,ADEQUATE,0.77208481,0.83765214,0.56847244,0.68949858,0.65573770,0.70394737,0.10582011,0.56613757,0.18223235,0.62756598,0.63157895,0.72307692,0.03174603,0.49735450,0.06045340,0.58934169,828,759,21,90,338,164,40,214,842,777,7,72,366,190,12,188,0.06556733,0.12102614,XGBOOST
progress_range,50-75,1620,486,692,0.42716049,ADEQUATE,0.80371425,0.82658960,0.71137564,0.76273658,0.81115880,0.73466003,0.27312139,0.64017341,0.40864865,0.68416988,0.69387755,0.78039216,0.04913295,0.57514451,0.09176788,0.66222962,884,768,44,160,503,249,189,443,913,816,15,112,658,294,34,398,0.02287535,0.05136094,XGBOOST
progress_range,<=25,2257,647,388,0.17190961,ADEQUATE,0.72389516,0.79202865,0.33838857,0.49762235,0.32978723,0.57854406,0.07989691,0.38917526,0.12863071,0.46533128,0.31034483,0.58798283,0.02319588,0.35309278,0.04316547,0.44122383,1806,1759,63,110,357,237,31,151,1849,1773,20,96,379,251,9,137,0.06813349,0.15923378,XGBOOST
progress_range,>75,3506,907,2180,0.62179122,ADEQUATE,0.78610777,0.78441785,0.82571860,0.82452090,0.81112985,0.77983725,0.66192661,0.79128440,0.72897196,0.78551913,0.84769231,0.80634921,0.25275229,0.69908257,0.38939929,0.74889435,990,839,336,487,737,455,1443,1725,1227,960,99,366,1629,656,551,1524,-0.00168991,-0.00119769,NEGLIGIBLE
roads_group,Other sectors,4444,863,839,0.18879388,ADEQUATE,0.80027442,0.80260035,0.51490855,0.48944457,0.55172414,0.44894204,0.40047676,0.58164482,0.46408840,0.50674974,0.69421488,0.48243560,0.20023838,0.49106079,0.31082331,0.48670998,3332,3006,273,599,503,351,336,488,3531,3163,74,442,671,427,168,412,0.00232593,-0.02546399,BASELINE
roads_group,Roads & Highways,4166,1115,2799,0.67186750,ADEQUATE,0.78244255,0.84377872,0.85468744,0.89348971,0.87740693,0.89184474,0.48838871,0.73061808,0.62749598,0.80322074,0.86732673,0.89995096,0.15648446,0.65559128,0.26513317,0.75857792,1176,1119,191,248,1432,754,1367,2045,1300,1163,67,204,2361,964,438,1835,0.06133618,0.03880226,XGBOOST
sector,Aviation & Aviation Infrastructure,148,26,71,0.47972973,ADEQUATE,0.77848912,0.85677703,0.78194833,0.86813457,0.77551020,0.82758621,0.53521127,0.67605634,0.63333333,0.74418605,0.87096774,0.90196078,0.38028169,0.64788732,0.52941176,0.75409836,66,67,11,10,33,23,38,48,73,72,4,5,44,25,27,46,0.07828791,0.08618624,XGBOOST
sector,Coal,687,121,39,0.05676856,ADEQUATE,0.82700222,0.84848845,0.27591504,0.18918021,0.75000000,0.23148148,0.07692308,0.64102564,0.13953488,0.34013605,0.00000000,0.21978022,0.00000000,0.51282051,0.00000000,0.30769231,647,565,1,83,36,14,3,25,648,577,0,71,39,19,0,20,0.02148623,-0.08673483,BASELINE
sector,Education,178,31,27,0.15168539,ADEQUATE,0.65930831,0.64753495,0.20177886,0.23353281,0.19354839,0.21917808,0.44444444,0.59259259,0.26966292,0.32000000,0.07142857,0.21153846,0.03703704,0.40740741,0.04878049,0.27848101,101,94,50,57,15,11,12,16,138,110,13,41,26,16,1,11,-0.01177336,0.03175395,XGBOOST
sector,Electricity Generation,180,42,49,0.27222222,ADEQUATE,0.48932856,0.47966973,0.27206836,0.28243872,0.30769231,0.27272727,0.16326531,0.24489796,0.21333333,0.25806452,0.14285714,0.25714286,0.02040816,0.18367347,0.03571429,0.21428571,113,99,18,32,41,37,8,12,125,105,6,26,48,40,1,9,-0.00965883,0.01037036,XGBOOST
sector,Healthcare,166,37,28,0.16867470,ADEQUATE,0.78079710,0.77251553,0.43786276,0.34466313,0.36111111,0.30769231,0.46428571,0.57142857,0.40625000,0.40000000,0.66666667,0.31914894,0.21428571,0.53571429,0.32432432,0.40000000,115,102,23,36,15,12,13,16,135,106,3,32,22,13,6,15,-0.00828157,-0.09319962,BASELINE
sector,Oil & Gas,494,101,161,0.32591093,ADEQUATE,0.88042079,0.86275717,0.82495631,0.84030877,0.94623656,0.87301587,0.54658385,0.68322981,0.69291339,0.76655052,0.94117647,0.89655172,0.29813665,0.64596273,0.45283019,0.75090253,328,317,5,16,73,51,88,110,330,321,3,12,113,57,48,104,-0.01766363,0.01535246,XGBOOST
sector,Railways,1367,258,118,0.08632041,ADEQUATE,0.69882347,0.75177430,0.25201076,0.21011933,0.75000000,0.22797927,0.02542373,0.37288136,0.04918033,0.28295820,0.00000000,0.27272727,0.00000000,0.25423729,0.00000000,0.26315789,1248,1100,1,149,115,74,3,44,1249,1169,0,80,118,88,0,30,0.05295084,-0.04189142,BASELINE
sector,Roads & Highways,4166,1115,2799,0.67186750,ADEQUATE,0.78244255,0.84377872,0.85468744,0.89348971,0.87740693,0.89184474,0.48838871,0.73061808,0.62749598,0.80322074,0.86732673,0.89995096,0.15648446,0.65559128,0.26513317,0.75857792,1176,1119,191,248,1432,754,1367,2045,1300,1163,67,204,2361,964,438,1835,0.06133618,0.03880226,XGBOOST
