model,fold,evaluation_period,threshold,observations_evaluated,unique_projects_evaluated,flagged_review_actions,flagged_percent,unique_projects_flagged,project_flagging_scope,true_errors_captured,false_interventions,error_observations_missed,true_negatives,intervention_precision,precision_status,intervention_recall,recall_status,f1,f1_status,intervention_burden,error_capture_rate,false_interventions_per_true_error_captured,review_workload_ratio,folds,mean_flagged_review_actions,sd_flagged_review_actions,mean_flagged_percent,sd_flagged_percent,mean_true_errors_captured,sd_true_errors_captured,mean_false_interventions,sd_false_interventions,mean_error_observations_missed,sd_error_observations_missed,mean_intervention_precision,sd_intervention_precision,mean_intervention_recall,sd_intervention_recall,mean_f1,sd_f1,mean_intervention_burden,sd_intervention_burden,mean_review_workload_ratio,sd_review_workload_ratio
BASELINE_RANDOM_FOREST,1,2025-11,0.40000000,731,731,100,0.13679891,100,ONE_MONTH_UNIQUE,21,79,85,546,0.21000000,DEFINED,0.19811321,DEFINED,0.20388350,DEFINED,0.13679891,0.19811321,3.76190476,0.94339623,6,361.16666667,134.03533945,0.24461930,0.06853518,283.83333333,127.48649166,77.33333333,20.96558026,322.50000000,154.04409542,0.71499203,0.22775690,0.43869082,0.14190520,0.53545697,0.16146204,0.24461930,0.06853518,0.65834058,0.18367718
BASELINE_RANDOM_FOREST,1,2025-11,0.50000000,731,731,24,0.03283174,24,ONE_MONTH_UNIQUE,7,17,99,608,0.29166667,DEFINED,0.06603774,DEFINED,0.10769231,DEFINED,0.03283174,0.06603774,2.42857143,0.22641509,6,124.50000000,112.47333017,0.08074629,0.06403484,101.00000000,96.68677952,23.50000000,17.21191448,505.33333333,231.98682913,0.73476995,0.20619726,0.15622005,0.13886736,0.23777582,0.16374072,0.08074629,0.06403484,0.21400136,0.15793128
BASELINE_RANDOM_FOREST,2,2025-12,0.40000000,1243,1243,416,0.33467418,416,ONE_MONTH_UNIQUE,321,95,244,583,0.77163462,DEFINED,0.56814159,DEFINED,0.65443425,DEFINED,0.33467418,0.56814159,0.29595016,0.73628319,6,361.16666667,134.03533945,0.24461930,0.06853518,283.83333333,127.48649166,77.33333333,20.96558026,322.50000000,154.04409542,0.71499203,0.22775690,0.43869082,0.14190520,0.53545697,0.16146204,0.24461930,0.06853518,0.65834058,0.18367718
BASELINE_RANDOM_FOREST,2,2025-12,0.50000000,1243,1243,90,0.07240547,90,ONE_MONTH_UNIQUE,63,27,502,651,0.70000000,DEFINED,0.11150442,DEFINED,0.19236641,DEFINED,0.07240547,0.11150442,0.42857143,0.15929204,6,124.50000000,112.47333017,0.08074629,0.06403484,101.00000000,96.68677952,23.50000000,17.21191448,505.33333333,231.98682913,0.73476995,0.20619726,0.15622005,0.13886736,0.23777582,0.16374072,0.08074629,0.06403484,0.21400136,0.15793128
BASELINE_RANDOM_FOREST,3,2026-01,0.40000000,1453,1453,347,0.23881624,347,ONE_MONTH_UNIQUE,293,54,367,739,0.84438040,DEFINED,0.44393939,DEFINED,0.58192651,DEFINED,0.23881624,0.44393939,0.18430034,0.52575758,6,361.16666667,134.03533945,0.24461930,0.06853518,283.83333333,127.48649166,77.33333333,20.96558026,322.50000000,154.04409542,0.71499203,0.22775690,0.43869082,0.14190520,0.53545697,0.16146204,0.24461930,0.06853518,0.65834058,0.18367718
BASELINE_RANDOM_FOREST,3,2026-01,0.50000000,1453,1453,65,0.04473503,65,ONE_MONTH_UNIQUE,56,9,604,784,0.86153846,DEFINED,0.08484848,DEFINED,0.15448276,DEFINED,0.04473503,0.08484848,0.16071429,0.09848485,6,124.50000000,112.47333017,0.08074629,0.06403484,101.00000000,96.68677952,23.50000000,17.21191448,505.33333333,231.98682913,0.73476995,0.20619726,0.15622005,0.13886736,0.23777582,0.16374072,0.08074629,0.06403484,0.21400136,0.15793128
BASELINE_RANDOM_FOREST,4,2026-02,0.40000000,1815,1815,424,0.23360882,424,ONE_MONTH_UNIQUE,364,60,561,830,0.85849057,DEFINED,0.39351351,DEFINED,0.53965901,DEFINED,0.23360882,0.39351351,0.16483516,0.45837838,6,361.16666667,134.03533945,0.24461930,0.06853518,283.83333333,127.48649166,77.33333333,20.96558026,322.50000000,154.04409542,0.71499203,0.22775690,0.43869082,0.14190520,0.53545697,0.16146204,0.24461930,0.06853518,0.65834058,0.18367718
BASELINE_RANDOM_FOREST,4,2026-02,0.50000000,1815,1815,104,0.05730028,104,ONE_MONTH_UNIQUE,90,14,835,876,0.86538462,DEFINED,0.09729730,DEFINED,0.17492711,DEFINED,0.05730028,0.09729730,0.15555556,0.11243243,6,124.50000000,112.47333017,0.08074629,0.06403484,101.00000000,96.68677952,23.50000000,17.21191448,505.33333333,231.98682913,0.73476995,0.20619726,0.15622005,0.13886736,0.23777582,0.16374072,0.08074629,0.06403484,0.21400136,0.15793128
BASELINE_RANDOM_FOREST,5,2026-03,0.40000000,1701,1701,340,0.19988242,340,ONE_MONTH_UNIQUE,277,63,440,921,0.81470588,DEFINED,0.38633194,DEFINED,0.52412488,DEFINED,0.19988242,0.38633194,0.22743682,0.47419805,6,361.16666667,134.03533945,0.24461930,0.06853518,283.83333333,127.48649166,77.33333333,20.96558026,322.50000000,154.04409542,0.71499203,0.22775690,0.43869082,0.14190520,0.53545697,0.16146204,0.24461930,0.06853518,0.65834058,0.18367718
BASELINE_RANDOM_FOREST,5,2026-03,0.50000000,1701,1701,95,0.05584950,95,ONE_MONTH_UNIQUE,81,14,636,970,0.85263158,DEFINED,0.11297071,DEFINED,0.19950739,DEFINED,0.05584950,0.11297071,0.17283951,0.13249651,6,124.50000000,112.47333017,0.08074629,0.06403484,101.00000000,96.68677952,23.50000000,17.21191448,505.33333333,231.98682913,0.73476995,0.20619726,0.15622005,0.13886736,0.23777582,0.16374072,0.08074629,0.06403484,0.21400136,0.15793128
BASELINE_RANDOM_FOREST,6,2026-04,0.40000000,1667,1667,540,0.32393521,540,ONE_MONTH_UNIQUE,427,113,238,889,0.79074074,DEFINED,0.64210526,DEFINED,0.70871369,DEFINED,0.32393521,0.64210526,0.26463700,0.81203008,6,361.16666667,134.03533945,0.24461930,0.06853518,283.83333333,127.48649166,77.33333333,20.96558026,322.50000000,154.04409542,0.71499203,0.22775690,0.43869082,0.14190520,0.53545697,0.16146204,0.24461930,0.06853518,0.65834058,0.18367718
