important_slice,slice_feature,slice_value,model,threshold,sample_status,n_a_reason,observations_evaluated,unique_projects_evaluated,flagged_review_actions,flagged_percent,unique_projects_flagged,project_flagging_scope,true_errors_captured,false_interventions,error_observations_missed,true_negatives,intervention_precision,precision_status,intervention_recall,recall_status,f1,f1_status,intervention_burden,error_capture_rate,false_interventions_per_true_error_captured,review_workload_ratio
Electricity Generation,sector,Electricity Generation,BASELINE_RANDOM_FOREST,0.40000000,ADEQUATE,,180,42,26,0.14444444,,NOT_AGGREGATED_ACROSS_MONTHS,8,18,41,113,0.30769231,DEFINED,0.16326531,DEFINED,0.21333333,DEFINED,0.14444444,0.16326531,2.25000000,0.53061224
Electricity Generation,sector,Electricity Generation,BASELINE_RANDOM_FOREST,0.50000000,ADEQUATE,,180,42,7,0.03888889,,NOT_AGGREGATED_ACROSS_MONTHS,1,6,48,125,0.14285714,DEFINED,0.02040816,DEFINED,0.03571429,DEFINED,0.03888889,0.02040816,6.00000000,0.14285714
Electricity Generation,sector,Electricity Generation,XGBOOST,0.40000000,ADEQUATE,,180,42,44,0.24444444,,NOT_AGGREGATED_ACROSS_MONTHS,12,32,37,99,0.27272727,DEFINED,0.24489796,DEFINED,0.25806452,DEFINED,0.24444444,0.24489796,2.66666667,0.89795918
Electricity Generation,sector,Electricity Generation,XGBOOST,0.50000000,ADEQUATE,,180,42,35,0.19444444,,NOT_AGGREGATED_ACROSS_MONTHS,9,26,40,105,0.25714286,DEFINED,0.18367347,DEFINED,0.21428571,DEFINED,0.19444444,0.18367347,2.88888889,0.71428571
Ministry of Power,ministry,Ministry of Power,BASELINE_RANDOM_FOREST,0.40000000,ADEQUATE,,499,103,147,0.29458918,,NOT_AGGREGATED_ACROSS_MONTHS,71,76,90,262,0.48299320,DEFINED,0.44099379,DEFINED,0.46103896,DEFINED,0.29458918,0.44099379,1.07042254,0.91304348
Ministry of Power,ministry,Ministry of Power,BASELINE_RANDOM_FOREST,0.50000000,ADEQUATE,,499,103,71,0.14228457,,NOT_AGGREGATED_ACROSS_MONTHS,48,23,113,315,0.67605634,DEFINED,0.29813665,DEFINED,0.41379310,DEFINED,0.14228457,0.29813665,0.47916667,0.44099379
Ministry of Power,ministry,Ministry of Power,XGBOOST,0.40000000,ADEQUATE,,499,103,145,0.29058116,,NOT_AGGREGATED_ACROSS_MONTHS,81,64,80,274,0.55862069,DEFINED,0.50310559,DEFINED,0.52941176,DEFINED,0.29058116,0.50310559,0.79012346,0.90062112
Ministry of Power,ministry,Ministry of Power,XGBOOST,0.50000000,ADEQUATE,,499,103,114,0.22845691,,NOT_AGGREGATED_ACROSS_MONTHS,71,43,90,295,0.62280702,DEFINED,0.44099379,DEFINED,0.51636364,DEFINED,0.22845691,0.44099379,0.60563380,0.70807453
Education,sector,Education,BASELINE_RANDOM_FOREST,0.40000000,ADEQUATE,,178,31,62,0.34831461,,NOT_AGGREGATED_ACROSS_MONTHS,12,50,15,101,0.19354839,DEFINED,0.44444444,DEFINED,0.26966292,DEFINED,0.34831461,0.44444444,4.16666667,2.29629630
Education,sector,Education,BASELINE_RANDOM_FOREST,0.50000000,ADEQUATE,,178,31,14,0.07865169,,NOT_AGGREGATED_ACROSS_MONTHS,1,13,26,138,0.07142857,DEFINED,0.03703704,DEFINED,0.04878049,DEFINED,0.07865169,0.03703704,13.00000000,0.51851852
Education,sector,Education,XGBOOST,0.40000000,ADEQUATE,,178,31,73,0.41011236,,NOT_AGGREGATED_ACROSS_MONTHS,16,57,11,94,0.21917808,DEFINED,0.59259259,DEFINED,0.32000000,DEFINED,0.41011236,0.59259259,3.56250000,2.70370370
Education,sector,Education,XGBOOST,0.50000000,ADEQUATE,,178,31,52,0.29213483,,NOT_AGGREGATED_ACROSS_MONTHS,11,41,16,110,0.21153846,DEFINED,0.40740741,DEFINED,0.27848101,DEFINED,0.29213483,0.40740741,3.72727273,1.92592593
Railways,sector,Railways,BASELINE_RANDOM_FOREST,0.40000000,ADEQUATE,,1367,258,4,0.00292612,,NOT_AGGREGATED_ACROSS_MONTHS,3,1,115,1248,0.75000000,DEFINED,0.02542373,DEFINED,0.04918033,DEFINED,0.00292612,0.02542373,0.33333333,0.03389831
Railways,sector,Railways,BASELINE_RANDOM_FOREST,0.50000000,ADEQUATE,,1367,258,0,0.00000000,,NOT_AGGREGATED_ACROSS_MONTHS,0,0,118,1249,,N/A_NO_FLAGGED_OBSERVATIONS,0.00000000,DEFINED,,N/A_UNDEFINED_PRECISION_OR_RECALL,0.00000000,0.00000000,,0.00000000
Railways,sector,Railways,XGBOOST,0.40000000,ADEQUATE,,1367,258,193,0.14118508,,NOT_AGGREGATED_ACROSS_MONTHS,44,149,74,1100,0.22797927,DEFINED,0.37288136,DEFINED,0.28295820,DEFINED,0.14118508,0.37288136,3.38636364,1.63559322
Railways,sector,Railways,XGBOOST,0.50000000,ADEQUATE,,1367,258,110,0.08046818,,NOT_AGGREGATED_ACROSS_MONTHS,30,80,88,1169,0.27272727,DEFINED,0.25423729,DEFINED,0.26315789,DEFINED,0.08046818,0.25423729,2.66666667,0.93220339
Roads & Highways,sector,Roads & Highways,BASELINE_RANDOM_FOREST,0.40000000,ADEQUATE,,4166,1115,1558,0.37397984,,NOT_AGGREGATED_ACROSS_MONTHS,1367,191,1432,1176,0.87740693,DEFINED,0.48838871,DEFINED,0.62749598,DEFINED,0.37397984,0.48838871,0.13972202,0.55662737
