bin_index,score_bin,lower_bound,upper_bound,observations,mean_predicted_score,observed_event_rate,calibration_gap_predicted_minus_observed,absolute_calibration_gap,bin_status
1,"[0.0, 0.1]",0.00000000,0.10000000,3618,0.02954230,0.10807076,-0.07852846,0.07852846,SUPPORTED
2,"(0.1, 0.2]",0.10000000,0.20000000,663,0.14307969,0.33484163,-0.19176194,0.19176194,SUPPORTED
3,"(0.2, 0.3]",0.20000000,0.30000000,494,0.24721283,0.49190283,-0.24469001,0.24469001,SUPPORTED
4,"(0.3, 0.4]",0.30000000,0.40000000,455,0.35245765,0.54725275,-0.19479510,0.19479510,SUPPORTED
5,"(0.4, 0.5]",0.40000000,0.50000000,487,0.45076741,0.58726899,-0.13650158,0.13650158,SUPPORTED
6,"(0.5, 0.6]",0.50000000,0.60000000,530,0.54939904,0.70566038,-0.15626134,0.15626134,SUPPORTED
7,"(0.6, 0.7]",0.60000000,0.70000000,614,0.65115397,0.72638436,-0.07523040,0.07523040,SUPPORTED
8,"(0.7, 0.8]",0.70000000,0.80000000,716,0.75048684,0.77234637,-0.02185953,0.02185953,SUPPORTED
9,"(0.8, 0.9]",0.80000000,0.90000000,758,0.84773586,0.84300792,0.00472794,0.00472794,SUPPORTED
10,"(0.9, 1.0]",0.90000000,1.00000000,275,0.93133912,0.85454545,0.07679366,0.07679366,SUPPORTED
