slice_feature,slice_value,rows,unique_projects,positive_rows,negative_rows,true_positives,true_negatives,false_positives,false_negatives,false_positive_rate,false_negative_rate,error_count,error_rate,projects_with_error,project_error_exposure,sample_status
sector,Aviation & Aviation Infrastructure,49,25,20,29,16,17,12,4,0.413793,0.200000,16,0.326531,11,0.440000,INSUFFICIENT_SAMPLE
sector,Coal,229,115,25,204,0,204,0,25,0.000000,1.000000,25,0.109170,13,0.113043,INSUFFICIENT_SAMPLE
sector,Construction,2,1,0,2,0,2,0,0,0.000000,,0,0.000000,0,0.000000,INSUFFICIENT_SAMPLE
sector,Education,61,31,11,50,8,35,15,3,0.300000,0.272727,18,0.295082,12,0.387097,INSUFFICIENT_SAMPLE
sector,Electricity Generation,69,37,32,37,2,34,3,30,0.081081,0.937500,33,0.478261,21,0.567568,ADEQUATE
sector,Energy Storage,25,14,6,19,4,12,7,2,0.368421,0.333333,9,0.360000,7,0.500000,INSUFFICIENT_SAMPLE
sector,Healthcare,63,32,9,54,6,41,13,3,0.240741,0.333333,16,0.253968,11,0.343750,INSUFFICIENT_SAMPLE
sector,Inland Waterways,2,1,1,1,0,1,0,1,0.000000,1.000000,1,0.500000,1,1.000000,INSUFFICIENT_SAMPLE
sector,Logistics Infrastructure,2,1,0,2,0,2,0,0,0.000000,,0,0.000000,0,0.000000,INSUFFICIENT_SAMPLE
sector,Metals & Mining,12,6,3,9,1,5,4,2,0.444444,0.666667,6,0.500000,3,0.500000,INSUFFICIENT_SAMPLE
sector,Oil & Gas,173,90,46,127,26,119,8,20,0.062992,0.434783,28,0.161850,21,0.233333,ADEQUATE
sector,Railways,425,254,25,400,1,393,7,24,0.017500,0.960000,31,0.072941,24,0.094488,INSUFFICIENT_SAMPLE
sector,Real Estate,16,11,8,8,1,8,0,7,0.000000,0.875000,7,0.437500,5,0.454545,INSUFFICIENT_SAMPLE
sector,Roads & Highways,1898,982,1127,771,973,420,351,154,0.455253,0.136646,505,0.266070,362,0.368635,ADEQUATE
sector,Shipping,9,5,0,9,0,9,0,0,0.000000,,0,0.000000,0,0.000000,INSUFFICIENT_SAMPLE
sector,Steel,34,17,14,20,7,19,1,7,0.050000,0.500000,8,0.235294,5,0.294118,INSUFFICIENT_SAMPLE
sector,Telecommunication,24,12,13,11,13,5,6,0,0.545455,0.000000,6,0.250000,4,0.333333,INSUFFICIENT_SAMPLE
sector,"Tourism, Hospitality & Wellness",2,1,0,2,0,2,0,0,0.000000,,0,0.000000,0,0.000000,INSUFFICIENT_SAMPLE
sector,Transmission & Distribution,117,61,15,102,9,90,12,6,0.117647,0.400000,18,0.153846,14,0.229508,INSUFFICIENT_SAMPLE
sector,Urban Public Transport,50,25,3,47,2,44,3,1,0.063830,0.333333,4,0.080000,2,0.080000,INSUFFICIENT_SAMPLE
sector,Waste & Water,46,24,20,26,16,12,14,4,0.538462,0.200000,18,0.391304,10,0.416667,INSUFFICIENT_SAMPLE
sector,Water Resources,60,31,4,56,0,55,1,4,0.017857,1.000000,5,0.083333,4,0.129032,INSUFFICIENT_SAMPLE
state,(Arunachal,4,2,1,3,0,3,0,1,0.000000,1.000000,1,0.250000,1,0.500000,INSUFFICIENT_SAMPLE
state,(Himachal,3,2,0,3,0,2,1,0,0.333333,,1,0.333333,1,0.500000,INSUFFICIENT_SAMPLE
state,(Jammu and,2,1,0,2,0,1,1,0,0.500000,,1,0.500000,1,1.000000,INSUFFICIENT_SAMPLE
state,Andhra Pradesh,179,95,104,75,85,57,18,19,0.240000,0.182692,37,0.206704,30,0.315789,ADEQUATE
state,"Andhra Pradesh, Karnataka",12,6,1,11,1,10,1,0,0.090909,0.000000,1,0.083333,1,0.166667,INSUFFICIENT_SAMPLE
state,"Andhra Pradesh, Odisha",8,5,2,6,2,5,1,0,0.166667,0.000000,1,0.125000,1,0.200000,INSUFFICIENT_SAMPLE
state,"Andhra Pradesh, Tamil Nadu",12,6,8,4,8,4,0,0,0.000000,0.000000,0,0.000000,0,0.000000,INSUFFICIENT_SAMPLE
state,"Andhra Pradesh, Telangana",16,9,6,10,6,10,0,0,0.000000,0.000000,0,0.000000,0,0.000000,INSUFFICIENT_SAMPLE
state,Arunachal Pradesh,32,18,4,28,4,24,4,0,0.142857,0.000000,4,0.125000,3,0.166667,INSUFFICIENT_SAMPLE
state,"Arunachal, Pradesh, Assam",2,1,2,0,2,0,0,0,,0.000000,0,0.000000,0,0.000000,INSUFFICIENT_SAMPLE
state,"Arunachal, Pradesh, Sikkim",2,1,0,2,0,1,1,0,0.500000,,1,0.500000,1,1.000000,INSUFFICIENT_SAMPLE
state,Assam,131,71,40,91,29,56,35,11,0.384615,0.275000,46,0.351145,31,0.436620,ADEQUATE
state,"Assam, Bihar, West Bengal",2,1,0,2,0,2,0,0,0.000000,,0,0.000000,0,0.000000,INSUFFICIENT_SAMPLE
state,"Assam, Meghalaya",1,1,0,1,0,1,0,0,0.000000,,0,0.000000,0,0.000000,INSUFFICIENT_SAMPLE
state,"Assam, Nagaland",4,2,0,4,0,4,0,0,0.000000,,0,0.000000,0,0.000000,INSUFFICIENT_SAMPLE
state,"BARAMULA URI NH-01 in the UT of Jammu & Kashmir under project BEACON,",1,1,1,0,1,0,0,0,,0.000000,0,0.000000,0,0.000000,INSUFFICIENT_SAMPLE
state,Bihar,170,90,88,82,56,63,19,32,0.231707,0.363636,51,0.300000,35,0.388889,ADEQUATE
state,"Bihar, Jharkhand",20,10,6,14,5,12,2,1,0.142857,0.166667,3,0.150000,3,0.300000,INSUFFICIENT_SAMPLE
state,"Bihar, Odisha, West Bengal",2,1,1,1,1,1,0,0,0.000000,0.000000,0,0.000000,0,0.000000,INSUFFICIENT_SAMPLE
state,"Bihar, Uttar, Pradesh",16,8,3,13,3,8,5,0,0.384615,0.000000,5,0.312500,4,0.500000,INSUFFICIENT_SAMPLE
state,"Bihar, West, Bengal",6,3,1,5,0,5,0,1,0.000000,1.000000,1,0.166667,1,0.333333,INSUFFICIENT_SAMPLE
state,"Central University, Himachal Pradesh",2,1,0,2,0,2,0,0,0.000000,,0,0.000000,0,0.000000,INSUFFICIENT_SAMPLE
state,Chhattisgarh,121,62,31,90,21,75,15,10,0.166667,0.322581,25,0.206612,17,0.274194,ADEQUATE
state,"Chhattisgarh,",2,1,0,2,0,2,0,0,0.000000,,0,0.000000,0,0.000000,INSUFFICIENT_SAMPLE
state,"Chhattisgarh, Maharashtra",3,2,0,3,0,3,0,0,0.000000,,0,0.000000,0,0.000000,INSUFFICIENT_SAMPLE
state,"Chhattisgarh, Odisha",5,3,0,5,0,5,0,0,0.000000,,0,0.000000,0,0.000000,INSUFFICIENT_SAMPLE
state,Delhi,28,16,7,21,7,20,1,0,0.047619,0.000000,1,0.035714,1,0.062500,INSUFFICIENT_SAMPLE
state,EPC mode.,2,1,0,2,0,2,0,0,0.000000,,0,0.000000,0,0.000000,INSUFFICIENT_SAMPLE
state,Goa,6,3,1,5,1,3,2,0,0.400000,0.000000,2,0.333333,2,0.666667,INSUFFICIENT_SAMPLE
state,Gujarat,167,90,59,108,50,92,16,9,0.148148,0.152542,25,0.149701,18,0.200000,ADEQUATE
state,"Gujarat, Haryana, Rajasthan",1,1,0,1,0,0,1,0,1.000000,,1,1.000000,1,1.000000,INSUFFICIENT_SAMPLE
state,"Gujarat, Madhya, Pradesh",4,2,0,4,0,4,0,0,0.000000,,0,0.000000,0,0.000000,INSUFFICIENT_SAMPLE
state,"Gujarat, Maharashtra",4,3,1,3,1,3,0,0,0.000000,0.000000,0,0.000000,0,0.000000,INSUFFICIENT_SAMPLE
state,"Gujarat, Rajasthan",4,2,0,4,0,4,0,0,0.000000,,0,0.000000,0,0.000000,INSUFFICIENT_SAMPLE
state,Haryana,45,23,20,25,17,16,9,3,0.360000,0.150000,12,0.266667,8,0.347826,INSUFFICIENT_SAMPLE
state,"Haryana, Himachal Pradesh",2,1,0,2,0,2,0,0,0.000000,,0,0.000000,0,0.000000,INSUFFICIENT_SAMPLE
state,"Haryana, Punjab",8,4,7,1,7,1,0,0,0.000000,0.000000,0,0.000000,0,0.000000,INSUFFICIENT_SAMPLE
state,"Haryana, Punjab, Rajasthan",2,1,0,2,0,2,0,0,0.000000,,0,0.000000,0,0.000000,INSUFFICIENT_SAMPLE
state,"Haryana, Rajasthan",5,3,2,3,2,3,0,0,0.000000,0.000000,0,0.000000,0,0.000000,INSUFFICIENT_SAMPLE
state,"Haryana, Uttar, Pradesh",6,3,2,4,1,2,2,1,0.500000,0.500000,3,0.500000,3,1.000000,INSUFFICIENT_SAMPLE
state,Haveli and Daman,1,1,0,1,0,1,0,0,0.000000,,0,0.000000,0,0.000000,INSUFFICIENT_SAMPLE
state,"Haveli and Daman, & Diu, Gujarat,",2,1,2,0,1,0,0,1,,0.500000,1,0.500000,1,1.000000,INSUFFICIENT_SAMPLE
state,Himachal Pradesh,49,25,28,21,26,13,8,2,0.380952,0.071429,10,0.204082,9,0.360000,INSUFFICIENT_SAMPLE
state,"Himachal, Pradesh, Punjab",1,1,0,1,0,1,0,0,0.000000,,0,0.000000,0,0.000000,INSUFFICIENT_SAMPLE
state,"Indian Institute of Technology, Indore",2,1,0,2,0,2,0,0,0.000000,,0,0.000000,0,0.000000,INSUFFICIENT_SAMPLE
state,Jammu & Kashmir,2,1,2,0,2,0,0,0,,0.000000,0,0.000000,0,0.000000,INSUFFICIENT_SAMPLE
state,Jharkhand,140,72,36,104,22,90,14,14,0.134615,0.388889,28,0.200000,17,0.236111,ADEQUATE
state,"Jharkhand, Odisha",2,1,0,2,0,2,0,0,0.000000,,0,0.000000,0,0.000000,INSUFFICIENT_SAMPLE
state,"Jharkhand, Odisha, West",2,1,0,2,0,0,2,0,1.000000,,2,1.000000,1,1.000000,INSUFFICIENT_SAMPLE
state,"Jharkhand, West, Bengal",12,6,3,9,3,7,2,0,0.222222,0.000000,2,0.166667,2,0.333333,INSUFFICIENT_SAMPLE
state,Karnataka,176,93,84,92,59,65,27,25,0.293478,0.297619,52,0.295455,37,0.397849,ADEQUATE
state,"Karnataka, Kerala",2,1,2,0,2,0,0,0,,0.000000,0,0.000000,0,0.000000,INSUFFICIENT_SAMPLE
state,"Karnataka, Maharashtra",8,4,3,5,3,4,1,0,0.200000,0.000000,1,0.125000,1,0.250000,INSUFFICIENT_SAMPLE
state,"Karnataka, Tamil, Nadu",8,4,4,4,3,4,0,1,0.000000,0.250000,1,0.125000,1,0.250000,INSUFFICIENT_SAMPLE
state,"Karnataka, Telangana",6,3,5,1,5,0,1,0,1.000000,0.000000,1,0.166667,1,0.333333,INSUFFICIENT_SAMPLE
state,Kashmir,21,14,7,14,6,14,0,1,0.000000,0.142857,1,0.047619,1,0.071429,INSUFFICIENT_SAMPLE
state,Kashmir on EPC mode Package-III Job no NH-144A-J&K-2019-20-79,2,1,2,0,2,0,0,0,,0.000000,0,0.000000,0,0.000000,INSUFFICIENT_SAMPLE
state,Kashmir under Project.Package-III,2,1,2,0,1,0,0,1,,0.500000,1,0.500000,1,1.000000,INSUFFICIENT_SAMPLE
state,"Kashmir under project BEACON, Border Roads Organization BRO on EPC mode.",2,1,2,0,1,0,0,1,,0.500000,1,0.500000,1,1.000000,INSUFFICIENT_SAMPLE
state,Kerala,57,29,32,25,23,18,7,9,0.280000,0.281250,16,0.280702,10,0.344828,INSUFFICIENT_SAMPLE
state,"Kerala, Puducherry",2,1,2,0,2,0,0,0,,0.000000,0,0.000000,0,0.000000,INSUFFICIENT_SAMPLE
state,"Kerala, Tamil",2,1,0,2,0,2,0,0,0.000000,,0,0.000000,0,0.000000,INSUFFICIENT_SAMPLE
state,"Kerala, Tamil, Nadu",2,1,0,2,0,2,0,0,0.000000,,0,0.000000,0,0.000000,INSUFFICIENT_SAMPLE
state,Ladakh,10,5,5,5,5,2,3,0,0.600000,0.000000,3,0.300000,3,0.600000,INSUFFICIENT_SAMPLE
state,Madhya Pradesh,175,91,66,109,55,88,21,11,0.192661,0.166667,32,0.182857,24,0.263736,ADEQUATE
state,"Madhya Pradesh,",4,2,4,0,4,0,0,0,,0.000000,0,0.000000,0,0.000000,INSUFFICIENT_SAMPLE
state,"Madhya Pradesh, Maharashtra",6,3,1,5,1,5,0,0,0.000000,0.000000,0,0.000000,0,0.000000,INSUFFICIENT_SAMPLE
state,"Madhya Pradesh, Rajasthan",12,7,0,12,0,12,0,0,0.000000,,0,0.000000,0,0.000000,INSUFFICIENT_SAMPLE
state,"Madhya Pradesh, Uttar Pradesh",12,6,2,10,2,9,1,0,0.100000,0.000000,1,0.083333,1,0.166667,INSUFFICIENT_SAMPLE
state,Maharashtra,292,158,112,180,89,137,43,23,0.238889,0.205357,66,0.226027,41,0.259494,ADEQUATE
state,"Maharashtra,",4,3,3,1,2,1,0,1,0.000000,0.333333,1,0.250000,1,0.333333,INSUFFICIENT_SAMPLE
state,"Maharashtra, Telangana",3,2,1,2,1,1,1,0,0.500000,0.000000,1,0.333333,1,0.500000,INSUFFICIENT_SAMPLE
state,"Maharashtra, Telangana, Uttar",2,1,0,2,0,2,0,0,0.000000,,0,0.000000,0,0.000000,INSUFFICIENT_SAMPLE
state,Manipur,64,32,36,28,31,10,18,5,0.642857,0.138889,23,0.359375,13,0.406250,INSUFFICIENT_SAMPLE
state,Meghalaya,28,14,7,21,7,20,1,0,0.047619,0.000000,1,0.035714,1,0.071429,INSUFFICIENT_SAMPLE
state,"Meghalaya,",2,1,1,1,1,1,0,0,0.000000,0.000000,0,0.000000,0,0.000000,INSUFFICIENT_SAMPLE
state,"Meghalaya, Mizoram,",2,1,0,2,0,0,2,0,1.000000,,2,1.000000,1,1.000000,INSUFFICIENT_SAMPLE
state,Mizoram,33,17,11,22,9,21,1,2,0.045455,0.181818,3,0.090909,2,0.117647,INSUFFICIENT_SAMPLE
state,"Mowatari, before Chapar Bypass in the state ol Assam on HAM mode Package-1 Assam,",2,1,0,2,0,2,0,0,0.000000,,0,0.000000,0,0.000000,INSUFFICIENT_SAMPLE
state,Nagaland,38,19,12,26,10,11,15,2,0.576923,0.166667,17,0.447368,9,0.473684,INSUFFICIENT_SAMPLE
