project_code,identity_key,project_name,prediction_month,cutoff_target,future_target,target_change_month,shift_months,original_end_date,revised_end_date,december_2025_target,january_2026_target,february_2026_target,previous_report_target,march_2026_target,april_2026_target,next_report_target,source_file,source_page,source_section,label_value,sampled_for_source_review,source_months_verified,review_status,notes
611047,P:611047,"Construction of NTB complex including apron, taxi track and other associated civil works and electrical & mechanical installations towards Tawi River side at CA Jammu. Jammu and Kashmir",2026-02,06/2026,11/2026,2026-03,5,06/2026,11/2026,06/2026,06/2026,06/2026,06/2026,11/2026,11/2026,11/2026,FlashReport_March_2026.pdf,55,Table 6: All Ongoing Projects,1,True,2025-12;2026-01;2026-02;2026-03;2026-04,SOURCE_VERIFIED,2025-12:FlashReport_December_2025.pdf:p50=06/2026; 2026-01:FlashReport_January_2026.pdf:p62=06/2026; 2026-02:FlashReport_February_2026.pdf:p65=06/2026; 2026-03:FlashReport_March_2026.pdf:p55=11/2026; 2026-04:FlashReport_April2026.pdf:p55=11/2026
612789,P:612789,"Development of additional RESA on either end on Runway 10-28 at Calicut Airport. Construction of embankment with slope protection, drainage system and associated works for additional RESA on either end on Runway 10-28",2026-02,06/2026,12/2026,2026-03,6,09/2025,12/2026,06/2026,06/2026,06/2026,06/2026,12/2026,12/2026,12/2026,FlashReport_March_2026.pdf,55,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
701121,P:701121,Construction of New Domestic Terminal Building at Rajahmundry Airport.,2026-02,03/2026,04/2026,2026-03,1,08/2025,04/2026,03/2026,03/2026,03/2026,03/2026,04/2026,06/2026,06/2026,FlashReport_March_2026.pdf,55,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
701127,P:701127,Construction of New Passenger Terminal Building for Domestic Operations at Jodhpur Airport.,2026-02,03/2026,04/2026,2026-03,1,03/2026,04/2026,01/2026,01/2026,03/2026,03/2026,04/2026,04/2026,04/2026,FlashReport_March_2026.pdf,55,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
706724,P:706724,Guwahati Airport New Integrated Terminal Building Construction Project,2026-02,03/2026,06/2026,2026-03,3,03/2025,06/2026,03/2026,03/2026,03/2026,03/2026,06/2026,06/2026,06/2026,FlashReport_March_2026.pdf,55,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
613800,P:613800,JAGANNATHPUR OC RCE PROJECT,2026-02,03/2026,03/2027,2026-03,12,03/2025,03/2027,03/2026,03/2026,03/2026,03/2026,03/2027,03/2027,03/2027,FlashReport_March_2026.pdf,56,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
611016,P:611016,2.0 MTPA BHOJUDIH NLW WASHERY,2026-02,03/2026,04/2026,2026-03,1,09/2020,04/2026,12/2025,02/2026,03/2026,03/2026,04/2026,05/2026,05/2026,FlashReport_March_2026.pdf,61,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
602579,P:602579,Buxar Thermal Power Project [1320 MW],2026-02,12/2025,05/2026,2026-03,5,01/2024,05/2026,12/2025,12/2025,12/2025,12/2025,05/2026,05/2026,05/2026,FlashReport_March_2026.pdf,62,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
611967,P:611967,Transmission Scheme for Solar Energy Zone in Ananthpuram 2500MW and Kurnool 1000MW,2026-02,03/2026,04/2026,2026-03,1,09/2025,04/2026,03/2026,03/2026,03/2026,03/2026,04/2026,05/2026,05/2026,FlashReport_March_2026.pdf,63,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
612151,P:612151,Transmission System for Evacuation of Power from potential Renewable Energy zone in Khavda Area of Gujarat under Phase IV [7 GW] Part E3,2026-02,03/2026,04/2026,2026-03,1,07/2025,04/2026,03/2026,03/2026,03/2026,03/2026,04/2026,,,FlashReport_March_2026.pdf,63,Table 6: All Ongoing Projects,1,False,,NOT_SAMPLED,March revised completion target is later than the latest prior observed revised target.
